stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,115,0,1,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,4,1,0,34,0
 24-34,0,0,0,0,0,58.28,0,4.93,0,0,0,0,0,0,5.75,23.8,0,0,0,0,0,0,0,0,0.82,16.42,0,1.64,0,0,6.57,0,10.67,0,0.82,5.75,0,201.93,0
 36-46,0,0,0,0,0.81,30.62,0,4.03,0,0,0,0,0,0,4.03,44.31,0,0,0,0,1.61,0,0,0,0.81,14.5,0.81,0.81,0,0,3.22,0,8.86,0,0,1.61,0,124.88,0
 48-58,0,0,0.57,0,0,64.84,0,4.02,0,0,0.57,1.15,1.15,0,6.89,31.56,0.57,0,3.44,0.57,3.44,4.02,0,0.57,0,22.95,0,3.44,0,0,2.3,0,3.44,0,0,4.02,0,127.96,0.57
 60-70,0.98,0,0.98,0,0,73.61,0,6.87,0,0,0.98,0,5.89,0,5.89,48.09,0.98,0,1.96,0,2.94,3.93,0,0,0.98,14.72,0,3.93,0,0,0,0,1.96,0,0,1.96,0,113.86,0
 72-82,0,0,0,0.98,2.94,196.33,0,11.78,0.98,0,0.98,3.93,30.43,0,18.65,66.75,0,0,6.87,0.98,1.96,13.74,0,0,0,22.58,0,2.94,0.98,0,4.91,0,8.83,0.98,0,0,0,208.11,0
 84-94,0,0,1.06,2.12,4.25,154,0,4.25,0,0,0,2.12,79.65,0,11.68,81.78,0,0,1.06,8.5,5.31,8.5,1.06,0,2.12,9.56,0,1.06,1.06,0,6.37,0,18.05,0,0,0,0,180.55,0
 96-106,0,0,3.28,8.74,4.37,178.13,0,7.65,1.09,1.09,0,6.56,112.56,0,17.49,101.63,1.09,0,3.28,14.21,3.28,14.21,0,0,0,34.97,0,5.46,0,0,14.21,0,17.49,0,0,0,1.09,209.83,2.19
108-118,0.77,0,3.06,11.49,3.83,96.51,3.83,6.89,1.53,1.53,0.77,4.6,147.06,0,3.83,92.68,0.77,0.77,3.06,19.15,3.83,6.89,0,0,1.53,20.68,0,1.53,0.77,0,7.66,0,21.45,0,0,1.53,0,158.55,0.77
120,0,0,3.92,7.84,7.84,192.06,1.96,5.88,0,0,0,3.92,84.27,0,7.84,145.02,3.92,0,0,21.56,1.96,5.88,0,1.96,3.92,35.28,0,3.92,0,0,11.76,0,21.56,0,0,0,3.92,176.38,0
