stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,15,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,29,0,0,1,0,0,7,3,1,7,20,0,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,0,1.64,0,0,0.82,0.82,0,0,0.82,0,4.1,0,0,2.46,57.46,0.82,0,2.46,0,0.82,5.75,0.82,0,0,14.78,0,0,1.64,0,0
 36-46,0,1.61,0,0,12.09,0,0,0,1.61,0,0,0.81,0,0,0,0,0,6.45,0,0,1.61,74.93,0,0.81,2.42,0,0,4.83,0,0,0,19.34,0,0,0.81,0,0
 48-58,0,1.72,0.57,0,21.8,0,0.57,1.15,5.16,0,0,0,0,0,0,0,0,10.33,0.57,0,2.87,86.07,0.57,0,1.15,0,0,6.31,0,0,0,9.18,0,0,1.72,0,0.57
 60-70,0,3.93,0,0,35.33,0,0,0,0.98,0.98,0,0,0,0,0,0,0,19.63,0.98,1.96,2.94,81.47,0,0,0,0,0,2.94,0,0,0,15.7,0.98,0,0.98,0,0
 72-82,0,4.91,0,0,38.28,0,0.98,1.96,12.76,1.96,0.98,0,1.96,0,0,0,0,19.63,0,0.98,0.98,80.5,0.98,1.96,0.98,0,0.98,6.87,0,0,0,2.94,0,0.98,4.91,0,0.98
 84-94,0,4.25,0,0,19.12,1.06,0,0,7.43,0,0,1.06,1.06,2.12,0,0,0,12.74,0,3.19,3.19,26.55,1.06,2.12,1.06,1.06,0,12.74,0,2.12,0,3.19,0,0,4.25,0,0
 96-106,1.09,1.09,0,0,19.67,0,0,0,5.46,1.09,0,0,1.09,0,2.19,0,0,9.84,0,1.09,2.19,28.41,1.09,0,2.19,0,0,17.49,0,1.09,0,0,0,0,2.19,0,0
108-118,0,5.36,0,0.77,13.02,0,0.77,0.77,3.06,0.77,0.77,1.53,0.77,2.3,0,0.77,0.77,6.89,0,0.77,1.53,28.34,0.77,2.3,0.77,0,0.77,13.79,0,0,0,0,0,0.77,1.53,0.77,0
120,0,3.92,0,0,11.76,0,0,0,1.96,1.96,0,0,1.96,0,0,1.96,0,7.84,0,0,1.96,23.52,1.96,0,1.96,0,0,13.72,0,0,0,0,0,0,1.96,0,0
