stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,1,1,0,0,1,0,0,0,3,0,0,0,20,0,0,0,0,1,10,0
 24-34,0,0,0,0,0.82,0,4.93,1.64,0,0.82,0.82,0,0,0.82,26.27,0,0,0,1.64,0,11.49,0
 36-46,0,0,0,0,0.81,0,6.45,2.42,0,0,0.81,0,0.81,0,27.39,0,0.81,0,0.81,0,3.22,0
 48-58,0,0,0,0,0,0,15.49,3.44,0,0,3.44,0.57,0,0,10.9,0,0.57,0,0.57,0,1.72,0
 60-70,0,0,0,0,0,0,8.83,0.98,0.98,0,1.96,0,0,1.96,8.83,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,3.93,1.96,0,0,0.98,0,0,0,3.93,0,2.94,0,0,0,0,0
 84-94,0,0,0,0,0,0,7.43,1.06,1.06,0,0,0,1.06,0,6.37,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,2.19,3.28,0,0,1.09,1.09,0,0,0,2.19,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,0,0.77,4.6,0.77,0.77,0,1.53,0,0,0,4.6,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0
