stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,somites,spinal_cord,taste
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0
 24-34,0.82,0.82,0,0,0,0,0,0,0,4.93,0,0,13.95,0.82,0.82,0,13.95,0,2.46,0.82,0
 36-46,0,1.61,0,0,0,0,0,0,0,4.03,0,0,30.62,0,4.03,0,15.31,0,0,1.61,0
 48-58,0,0,0,0,0.57,0,0,0.57,0,1.72,0,0,11.48,0,6.31,0,13.77,0,0,1.72,0
 60-70,0,0,0,2.94,0.98,0.98,0.98,0.98,0.98,3.93,0,0,6.87,0,1.96,0,24.54,0,0,0,0
 72-82,0,0.98,0,1.96,0.98,0,0,22.58,3.93,4.91,0,0,15.71,0,3.93,0.98,41.23,0,0,0,0
 84-94,0,3.19,0,0,0,0,0,36.11,2.12,3.19,0,2.12,16.99,0,2.12,0,128.51,1.06,0,0,0
 96-106,0,8.74,1.09,4.37,2.19,0,1.09,79.78,5.46,9.84,1.09,1.09,9.84,1.09,8.74,0,130.05,0,0,0,0
108-118,0.77,3.06,0.77,0.77,0.77,1.53,0,54.38,4.6,7.66,0.77,2.3,7.66,0,2.3,0,119.49,0.77,0,0,0.77
120,0,1.96,0,0,0,1.96,0,39.2,1.96,9.8,0,0,1.96,0,1.96,0,113.67,0,0,0,0
