stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1212.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1023.65,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,31.54,0,52.57,0,0,65.72,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,607.23,13.14,0,0,241.84,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.58,12.59,0,0,179.38,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,22,4,19,0,0,0,7,1,0,0,0,0,0,0,0,0,29,0,10,335,3,2,1,7,0,0,0,13,0,13,90,0,0,1,0,0
 24-34,0,0,0,3.28,5.75,0.82,59.1,0,0,0,14.78,0,0,0,0,0,0,0.82,0.82,0,42.68,0.82,9.85,866.82,0.82,6.57,5.75,0,0,0,0,0,0.82,1.64,179.77,0,0,0.82,0,0
 36-46,0,0,0.81,0,1.61,0.81,299.71,0,0,0.81,30.62,0,0,0,0,0,2.42,0.81,0.81,0,53.17,0.81,14.5,1663.71,0.81,9.67,3.22,0,0,1.61,0,0.81,0,0,354.49,0,0,0.81,0,0.81
 48-58,0,0,0.57,0,4.59,0,378.71,0,0.57,0.57,45.9,0,0,0.57,0,0,1.15,0.57,0.57,0.57,75.17,3.44,7.46,1113.18,1.15,2.87,0,0,0.57,0.57,0,0,0.57,0,227.8,0,0.57,1.15,0,0.57
 60-70,0,0,0.98,0,1.96,0,565.36,0,0,0.98,57.91,0,0,0.98,0.98,0,0,0,0.98,0.98,82.45,2.94,8.83,1381,0.98,2.94,4.91,0,0,0.98,0,0,0,0,168.82,0,0.98,1.96,0,0.98
 72-82,0,0,1.96,0,9.82,0,224.8,0,0.98,0,51.05,0,0,0,0,0,0,1.96,0,0.98,74.61,4.91,6.87,589,0,2.94,2.94,0,0,1.96,0,0,0,0,58.9,0.98,0.98,0.98,0,0
 84-94,0,0,1.06,0,11.68,2.12,172.05,0,4.25,2.12,28.68,2.12,0,1.06,1.06,2.12,1.06,1.06,2.12,0,59.47,4.25,3.19,311.18,0,0,1.06,0,0,2.12,0,0,0,0,31.86,0,1.06,3.19,2.12,0
 96-106,0,0,3.28,0,1.09,1.09,106.01,0,1.09,3.28,29.51,2.19,0,1.09,1.09,1.09,0,1.09,1.09,1.09,45.9,3.28,4.37,212.01,0,2.19,2.19,0,1.09,0,0,0,0,0,20.76,0,2.19,0,2.19,0
108-118,0,0,1.53,0,3.83,0.77,76.6,0,1.53,0.77,22.98,0,0,0,0.77,0,0,0.77,0,0,32.94,1.53,3.83,238.98,0,3.06,0.77,0,0,2.3,0.77,0,0,0,11.49,0,1.53,2.3,0.77,0
120,0,0,0,0,9.8,3.92,78.39,1.96,0,0,33.32,0,0,0,1.96,0,1.96,0,0,0,50.95,1.96,3.92,256.73,0,1.96,1.96,0,0,0,0,0,1.96,0,1.96,0,0,0,3.92,0
