stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,1,0,0,0,0,0,0,0,8,0,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,145.29,0,0,0,0,0,0,0,1.64,9.85,0,0,0,0,0
 36-46,0,0,0,0,1.61,0.81,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,0,183.69,0,0.81,0,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,2.3,0,0,9.75,1.15,0,4.59,0,0,0,0,0,0,0,0,0,2.3,0,0.57,0,276.57,0,0.57,0,0,1.15,0.57,0,0,9.18,0,0,0,0,0
 60-70,0,2.94,0,0,17.67,0,0,12.76,0,0,0,0,0,0,0.98,0,0,7.85,0,0,0.98,554.56,0,0,0,0,0,0.98,0.98,0,3.93,0,0,0.98,0,0.98
 72-82,0,3.93,0,0,61.84,0,0.98,17.67,0,0,0.98,0,0,0.98,0,0,0.98,22.58,0.98,5.89,1.96,637.1,0,0.98,0,0,0.98,0.98,0,0,10.8,0,0.98,0.98,3.93,0
 84-94,0,13.81,3.19,0,42.48,0,1.06,9.56,0,0,1.06,1.06,5.31,0,0,0,0,8.5,0,8.5,1.06,335.6,0,0,0,0,0,1.06,1.06,0,7.43,2.12,0,1.06,2.12,1.06
 96-106,0,8.74,0,0,40.44,0,1.09,8.74,0,0,1.09,0,2.19,0,0,2.19,0,12.02,0,9.84,0,311.46,0,0,0,0,0,1.09,0,0,3.28,0,1.09,1.09,8.74,0
108-118,0,6.13,0.77,0.77,19.92,0.77,0.77,3.06,0.77,0,0,0,1.53,0,0,0,0,10.72,0,4.6,3.06,389.88,0,0.77,0.77,0,0.77,1.53,0,0,1.53,2.3,0,0.77,5.36,0
120,0,7.84,0,0,35.28,0,0,15.68,0,0,0,0,0,0,0,0,0,15.68,0,0,0,423.31,0,0,0,1.96,1.96,1.96,3.92,0,5.88,0,0,1.96,11.76,0
