stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,22.03,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,22,2,21,0,0,7,0,1,0,1,0,1,0,3,6,0,0,1,201,1,1,11,2,0,0,0,2,8,0,2,74,0,0,0,0,11
 24-34,0,0,0.82,7.39,0,22.98,0,0,11.49,0,0,0,0,0,1.64,0.82,5.75,9.85,0,0,3.28,508.93,0,12.31,16.42,0,0,0,0,0,2.46,0.82,0,119.84,0,0,0.82,0,25.45
 36-46,0,0,0,0,0,47.53,0,0,10.47,0,0,2.42,0,0,0.81,0.81,0,9.67,0.81,0,4.03,992.58,0,20.14,3.22,0,0,0.81,0.81,0,0,3.22,0,160.33,0,0,1.61,0,15.31
 48-58,0,0,0,2.87,0,121.07,0.57,0.57,24.1,0.57,0,0.57,0,0,2.87,0,0.57,13.2,0,1.15,1.72,926.69,0,13.2,8.03,0,0.57,0.57,0,0,0.57,1.72,0,156.65,0,0,0.57,0,9.18
 60-70,0,0,0,3.93,0,197.29,0.98,0,30.43,0.98,0,0,0.98,0,5.89,0,0.98,16.69,0,0,2.94,1088.51,0,13.74,10.8,0,0,0.98,0,0,0,0,0,146.25,0,0,0,0,9.82
 72-82,0,0,0.98,3.93,0.98,205.17,0,0,33.38,0,0,0,0,0.98,12.76,0,0,12.76,0,0.98,1.96,696.98,0,31.41,32.39,0,0,2.94,0,0,1.96,0,0,56.94,0.98,0,1.96,0,5.89
 84-94,0,0,0,1.06,0,130.63,0,1.06,20.18,0,0,0,0,2.12,15.93,0,3.19,11.68,0,0,1.06,355.78,0,8.5,38.23,0,0,1.06,0,0,0,2.12,0,37.17,1.06,0,2.12,1.06,6.37
 96-106,0,0,0,4.37,2.19,98.36,0,1.09,18.58,1.09,0,1.09,0,0,27.32,0,3.28,10.93,0,0,1.09,254.63,1.09,19.67,48.09,0,0,3.28,0,0,0,0,0,17.49,1.09,0,0,0,10.93
108-118,0,0,0,3.83,0.77,79.66,0,0,14.55,1.53,0,0,0,0.77,19.15,0,3.06,13.79,0,0,0,305.62,0,18.38,33.7,0,0,0,0,0,0,0,0,9.96,0,0,0.77,0,14.55
120,0,0,0,7.84,0,62.71,1.96,0,11.76,0,0,0,0,0,13.72,0,0,11.76,0,0,1.96,286.13,1.96,21.56,39.2,0,0,0,0,0,0,0,0,13.72,0,1.96,0,0,9.8
