stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,7,11,9,0,0,0,0,0,1,1,4,0,0,0,4
 24-34,0,0.82,5.75,0.82,4.1,0,9.03,1.64,0,0,0.82,0,0,0,0,0,20.52,40.22,0,0,23.8,48.43,26.27,0,0.82,0,0,0,0,4.93,16.42,0,0.82,0,11.49
 36-46,0,0,1.61,2.42,2.42,1.61,12.89,0,0.81,0,1.61,0,0,0.81,0,0,7.25,43.51,0,0.81,38.67,182.08,12.09,0,0.81,0,0,0,0.81,0,24.17,0,0,0.81,9.67
 48-58,0,0,5.16,0,20.08,3.44,19.51,19.51,0,0,0,0,0,0,0,0,6.31,91.23,0.57,2.3,32.13,345.43,10.33,0,2.3,0,0.57,0,1.72,0,47.63,0.57,0,0,6.89
 60-70,0,0,3.93,0.98,17.67,2.94,20.61,29.45,0.98,0,0.98,0,0,0.98,0,0,4.91,141.34,0,8.83,18.65,407.33,11.78,1.96,1.96,0.98,0,0,3.93,0,53,1.96,0,0.98,2.94
 72-82,0,0,3.93,0,37.3,1.96,15.71,34.36,0,0.98,1.96,0,0,0,0,0.98,2.94,134.49,0,4.91,19.63,323.95,6.87,0,4.91,0.98,0,0,0,0,26.5,2.94,2.94,9.82,2.94
 84-94,0,0,4.25,0,46.73,3.19,13.81,13.81,1.06,0,0,0,0,2.12,2.12,0,1.06,100.89,0,8.5,18.05,151.87,12.74,0,2.12,1.06,2.12,0,0,0,12.74,3.19,1.06,6.37,3.19
 96-106,0,0,2.19,0,26.23,8.74,7.65,19.67,1.09,0,0,1.09,0,0,0,1.09,4.37,76.5,0,1.09,8.74,128.96,13.11,0,8.74,0,1.09,0,2.19,0,8.74,3.28,1.09,5.46,6.56
108-118,1.53,0,1.53,0,21.45,4.6,7.66,14.55,0,0,0.77,1.53,0.77,0,0.77,0,2.3,67.4,0,3.06,6.89,124.09,14.55,0,2.3,0.77,0.77,0,0,0,6.13,0,0.77,6.89,3.83
120,0,0,7.84,0,33.32,3.92,1.96,13.72,0,0,0,0,0,0,0,0,1.96,52.91,0,1.96,15.68,178.34,17.64,0,3.92,1.96,1.96,1.96,0,0,9.8,0,0,0,0
