stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,spinal_cord,visceral_smooth_muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,3.15,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,11.49,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,17.72,0.81,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,25.82,0,0,0,1.72,0
 60-70,0,0,0,0,3.93,0,0,0,0,0,61.84,0,0,0,4.91,0
 72-82,0,0,0.98,0.98,13.74,0,0,2.94,0,0,62.83,0,0,0,2.94,0.98
 84-94,0,0,0,0,10.62,0,0,0,0,0,32.92,0,0,0,1.06,0
 96-106,0,0,1.09,2.19,16.39,0,1.09,0,0,0,33.88,0,0,0,0,0
108-118,0,0,0,0,13.79,0.77,0,2.3,0.77,0,28.34,0,0.77,0,0,0
120,0,0,0,0,3.92,0,0,3.92,1.96,0,50.95,0,0,0,0,0
