stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,17,5,0,0,0,0,0,0,1,0,0,0
 24-34,0,2.46,0,1.64,0,0.82,4.93,0,0,1.64,0,0.82,0,0,0,281.55,0,2.46,146.11,25.45,0.82,0,0,0.82,2.46,2.46,2.46,0,0.82,0
 36-46,0,0.81,0,0.81,0,0.81,12.89,0,0,1.61,0,0,0,0.81,0,389.94,0,5.64,122.46,22.56,0,0,0.81,0,0.81,0,0.81,0,0,0
 48-58,0,1.15,0.57,11.48,0,0.57,25.82,2.3,0,4.02,0,0,0,0.57,0.57,718.4,0,10.9,130.25,36.72,0.57,0,0,2.3,0.57,0,2.3,1.72,0.57,0
 60-70,0.98,1.96,1.96,12.76,0,2.94,21.59,2.94,0,1.96,0,0,0,0.98,0,876.5,0,14.72,90.3,27.48,0.98,0,0,4.91,0,0,3.93,9.82,0.98,0.98
 72-82,0,7.85,0.98,53.99,0.98,0.98,56.94,5.89,0,3.93,0,0,0,0,0,1470.53,0,24.54,132.52,38.28,0,0,0,14.72,0.98,0,2.94,24.54,2.94,25.52
 84-94,0,2.12,0,88.15,1.06,2.12,22.3,3.19,0,5.31,0,0,0,1.06,1.06,837.95,0,25.49,71.16,24.43,0,0,0,4.25,1.06,0,4.25,22.3,3.19,23.36
 96-106,0,3.28,1.09,31.69,1.09,0,17.49,4.37,1.09,2.19,0,0,1.09,0,0,750.79,0,12.02,63.39,49.18,1.09,1.09,0,10.93,1.09,0,0,10.93,1.09,22.95
108-118,0,5.36,0,26.04,0,0,14.55,3.83,0,3.83,0.77,0,0,0,0,644.94,0,18.38,54.38,42.13,0,0,0,5.36,1.53,0,0.77,6.89,2.3,6.89
120,0,1.96,0,33.32,0,1.96,29.4,0,0,3.92,0,0,0,0,0,725.12,1.96,23.52,50.95,54.87,0,1.96,1.96,11.76,3.92,0,0,15.68,0,9.8
