stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,7.89,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,2,3,0
 24-34,0,0.82,0,0,0,5.75,0,0,2.46,0,0,2.46,1.64,25.45,1.64,0,0,0,0,1.64,6.57,0
 36-46,0,0,0.81,0,0,7.25,0,0,0,0,0,0.81,0.81,19.34,0.81,0,0,0,0,0,8.06,0.81
 48-58,0,0,0,0,0,5.74,0,0,2.3,0,0,2.3,0.57,15.49,0.57,0,0,0,0,0,4.59,0.57
 60-70,0,0,0,0,0,6.87,0,0,3.93,0,0.98,0,0.98,11.78,0,0,0,0,0,0,4.91,0
 72-82,0,0,0,0,0,2.94,0.98,0.98,2.94,0,0,2.94,0,6.87,3.93,0,0,0.98,0,0,0,0
 84-94,0,0,2.12,0,0,1.06,0,0,2.12,0,0,1.06,0,3.19,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,1.09,1.09,0,1.09,0,4.37,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0,1.53,0,0,0,0,0.77,0,0.77,0,2.3,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0
