stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,pericytes,spinal_cord,vasculature
 14-21,1,0,0,0,1,0,0,0,0,0,0,0,1,0
 24-34,0.82,0.82,0,0,0,0,0,0.82,0,1.64,0.82,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,1.15,0,1.72,0,0,0.57,0
 60-70,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0.98,1.96,0,0.98,0,0,0,0.98,0,2.94,0,0,0,0
 84-94,0,1.06,0,0,0,0,1.06,0,0,0,0,1.06,0,1.06
 96-106,1.09,0,1.09,0,1.09,0,1.09,1.09,0,1.09,0,0,0,1.09
108-118,0,0.77,0,0,0,0,0,0.77,0.77,0,0,0.77,0,0
120,1.96,0,0,0,0,3.92,0,1.96,0,1.96,0,0,0,0
