stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0
 24-34,0,0,0,12.31,0,0,0.82,0,11.49,0,0,0,0,0,9.03,0,0,0,0,0,0.82,0,0.82,7.39,0,0,0,21.34,0,0,0,0,0,0,0
 36-46,0,0,0,9.67,0,0,0,0,8.06,0,0,0,0,0,3.22,0,0,0,0,0,0.81,0,0,0.81,0,4.03,0,48.34,0,0,0,0,0,0,0
 48-58,0,0,0.57,14.35,0,0,4.59,0,23.53,0,2.3,0.57,0.57,0,5.74,1.72,0,0,1.72,0,0.57,0,0,12.05,0,1.72,0,131.4,0,2.3,0,0.57,0.57,0,1.15
 60-70,0,0,0,37.3,0,0,2.94,0,37.3,0.98,24.54,2.94,0,0,4.91,21.59,0,0.98,0,0.98,1.96,0,0,15.7,0,2.94,0,321.94,0,0.98,2.94,0,0,0,2.94
 72-82,0,0.98,0,98.17,2.94,0,15.71,0.98,34.36,0,123.69,10.8,0,0,27.49,24.54,1.96,0,1.96,4.91,6.87,0,0,27.49,0,1.96,1.96,691.09,0,0.98,2.94,0.98,0,0,2.94
 84-94,0,1.06,0,227.28,0,0,5.31,0,116.82,0,106.2,59.47,0,3.19,55.23,18.05,0,0,0,9.56,24.43,0,0,16.99,0,2.12,1.06,2409.76,0,0,32.92,0,1.06,0,3.19
 96-106,0,2.19,0,398.89,6.56,0,28.41,0,179.23,2.19,201.08,81.96,0,3.28,97.26,10.93,1.09,3.28,0,15.3,43.71,1.09,1.09,83.06,0,3.28,1.09,2947.41,1.09,0,32.79,0,0,0,0
108-118,0,0,1.53,483.32,2.3,3.06,16.09,0,281.87,0,180.77,68.17,0,0.77,95.75,16.85,0.77,0.77,1.53,10.72,53.62,0.77,2.3,53.62,0.77,4.6,0.77,2863.17,0.77,0.77,37.53,0,2.3,0.77,0.77
120,0,0,1.96,364.52,0,0,9.8,0,172.46,0,145.02,33.32,0,0,41.16,13.72,0,0,0,3.92,23.52,0,0,41.16,1.96,1.96,1.96,1520.79,0,0,23.52,0,0,0,3.92
