stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,7.89,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,135.32,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,12,53,5,1,16,0,2,11,3,4,0,2,0,44,0,0,16,45,347,0,3,0,0,3,4,0,1,7,0,1,0,0
 24-34,0,0,0,7.39,1.64,0.82,35.3,14.78,0.82,0,0,25.45,0,0,0,28.73,0,1.64,20.52,28.73,32.01,1.64,0,4.1,0.82,0,0,0.82,3.28,6.57,0,0,0,0.82
 36-46,0,0,0,3.22,0.81,4.03,12.09,41.09,0.81,0,0,20.14,0.81,0,0.81,42.7,0.81,11.28,11.28,26.59,4.83,0,0,2.42,0,0.81,0,0,0,8.06,0,0,0,0
 48-58,0,0,0,0,0,4.02,8.03,48.77,0.57,0.57,0,16.64,0.57,0,0,21.8,0,10.9,5.74,17.79,0.57,0,0,8.03,0.57,0,0,0,0,3.44,0.57,0,0,0
 60-70,0,0,0,0,0,0.98,5.89,37.3,1.96,0,0,7.85,0,0,0,21.59,0,8.83,0.98,17.67,0,0,0,8.83,0,0,0,0,0,0,4.91,0,0.98,0
 72-82,0,0,0,0,0,10.8,1.96,39.27,0,0,0,0,0.98,0.98,0,20.61,0,20.61,4.91,25.52,0,0.98,0,11.78,0,0,0,0,0,0.98,9.82,0,2.94,0
 84-94,0,0,0,0,0,2.12,1.06,31.86,3.19,2.12,0,3.19,0,0,0,9.56,0,10.62,1.06,11.68,0,2.12,0,10.62,0,0,0,0,0,1.06,15.93,0,6.37,0
 96-106,0,0,0,0,0,6.56,2.19,27.32,1.09,0,0,1.09,1.09,1.09,0,7.65,0,13.11,0,7.65,0,2.19,0,14.21,0,0,0,0,0,0,13.11,0,2.19,0
108-118,0,0,0,0.77,0,5.36,0,16.09,0.77,2.3,0,1.53,0,0,0,3.83,0.77,17.62,0,7.66,0,0.77,0,9.96,1.53,0,0,0,0,0,3.06,0.77,0.77,0.77
120,0,0,0,0,0,1.96,0,11.76,0,0,0,0,0,0,0,0,0,7.84,0,9.8,0,1.96,0,13.72,0,0,0,0,0,0,5.88,0,0,0
