stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,11,0,0,0,0,2,3,0,0,0,0,9,31,0,0,0,0,0
 24-34,0,0,5.75,5.75,0.82,0,0,0,0,0.82,0,0,3.28,0,0,0,3.28,0,0,33.66,0,0.82,0,0.82,9.03,7.39,0,0.82,0,0.82,0,22.16,0,0,0,0,0
 36-46,0,0,0.81,0.81,0,0,0,2.42,0,0,0,0,18.53,0,0,0,0,0,0,28.2,0.81,0.81,0,0,12.09,4.83,0,0,0,0,0,12.09,0,0,0,0,0
 48-58,0.57,0,0,0,0,0,0,3.44,0,0,0,0,26.4,0.57,0,0,0,0,0,49.92,3.44,0,0,0.57,13.2,2.3,0,0,0,0,1.72,5.16,0,0,0,0.57,0
 60-70,0.98,0,0.98,0,0,0,1.96,14.72,0,0,0,0.98,15.7,0,0,0,0,0.98,0,70.67,13.74,0,0,0,23.56,0,0,0,0.98,0,0,4.91,0,0,0,0,0
 72-82,0,0,8.83,0.98,2.94,0.98,36.32,36.32,0.98,0,0,4.91,4.91,0,0,0.98,0,0.98,0,160.01,44.17,0,0,1.96,52.03,0,0,0,1.96,0,0,2.94,1.96,0,0,0.98,1.96
 84-94,0,0,8.5,5.31,3.19,0,81.78,29.74,0,0,1.06,3.19,15.93,0,0,2.12,0,0,0,517.21,25.49,0,0,0,62.66,0,1.06,1.06,6.37,1.06,0,1.06,1.06,0,1.06,0,1.06
 96-106,0,0,12.02,10.93,7.65,9.84,36.06,52.46,0,1.09,0,10.93,8.74,0,0,6.56,2.19,0,2.19,787.94,64.48,1.09,1.09,3.28,147.53,0,2.19,1.09,18.58,0,1.09,1.09,2.19,2.19,3.28,2.19,1.09
108-118,0,0,5.36,9.96,5.36,4.6,22.98,54.38,0.77,1.53,0,5.36,4.6,0,0,3.06,0.77,1.53,0,1483.67,58.98,1.53,0.77,3.06,116.43,0.77,0.77,3.06,2.3,0.77,0.77,4.6,0,0,0.77,0.77,1.53
120,0,0,1.96,0,1.96,5.88,9.8,21.56,0,5.88,1.96,3.92,1.96,0,1.96,0,0,0,0,768.24,41.16,0,0,1.96,99.95,3.92,0,0,5.88,0,0,1.96,0,0,0,0,0
