stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5,0,0,0,0,0,3,0,1,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0.82,0.82,0.82,22.98,0,0.82,0,0.82,0,4.93,0,0,0
 36-46,0,0,0.81,4.03,0,0,0,0,0,0,0,1.61,0,0,45.12,0,0,0,0.81,0,4.03,0,0,0
 48-58,0,0,0,6.31,0,0,0,0,0,0,0,1.15,0,0,29.26,0,0.57,0,0,0,5.16,0,0,0
 60-70,0,0,1.96,11.78,0,1.96,0,0,0,0,0.98,3.93,0,0.98,37.3,0,0,0.98,0,0.98,8.83,0,0,0
 72-82,0,0,1.96,17.67,0,1.96,0,0,0,0,0,9.82,0,0.98,23.56,0,0,0.98,0,0.98,5.89,0.98,0,0
 84-94,0,0,1.06,7.43,0,1.06,1.06,1.06,1.06,0,0,6.37,0,0,15.93,1.06,0,1.06,1.06,0,2.12,1.06,0,1.06
 96-106,0,0,2.19,4.37,1.09,2.19,0,0,3.28,1.09,0,4.37,0,1.09,14.21,0,0,0,1.09,0,0,1.09,0,0
108-118,0,0,7.66,7.66,0,0.77,9.19,0,0,0,0,6.89,0,0.77,12.26,0,0,0.77,4.6,0,0.77,3.06,0,0
120,0,0,5.88,7.84,0,0,1.96,1.96,1.96,0,0,5.88,0,1.96,17.64,0,0,0,3.92,0,0,1.96,1.96,0
