stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1317.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,478.11,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,5.26,0,0,0,10.51,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,110.41,2.63,0,0,39.43,0,2.63,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,0,0,0,56.65,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,16,6,0,13,0,0,4,3,0,0,0,0,0,0,0,0,11,0,0,8,158,1,0,1,1,0,1,0,18,0,3,12,40,0,0,0,0,0
 24-34,0,0,0,2.46,4.93,0.82,0,53.36,0,0.82,4.1,0,0,0,0,0,0,0,0.82,0,26.27,0,0,12.31,253.64,0.82,0,4.1,0,0,0.82,0,0,0,2.46,5.75,57.46,0,0,2.46,0,1.64
 36-46,0,0,0,0,0.81,0,0,51.56,0,0,6.45,0,0,0.81,0.81,0,0.81,0.81,0.81,0.81,17.72,0,0.81,5.64,118.43,1.61,0,1.61,0,0,0.81,2.42,0.81,1.61,0.81,0,33.03,0,0,6.45,0,0.81
 48-58,0,0,0,0,5.74,0,0,59.68,0,1.15,12.05,0,0,0.57,0,0,0,0.57,0,0,32.13,1.15,1.15,8.61,80.33,0.57,1.72,0,0,0,0,0,0,0,1.15,0,12.62,0,0,2.3,0,1.15
 60-70,0,0,0,0,4.91,0.98,0,55.95,0,1.96,18.65,0,0,0,0,0.98,0,0,2.94,0,55.95,0,0,8.83,83.43,0.98,0.98,0,0,0.98,0,0,0,0,0,0,11.78,0,0.98,0,0,0
 72-82,0,0,1.96,0,3.93,0.98,0,41.23,0,8.83,33.38,1.96,0,1.96,0.98,0,0.98,0.98,1.96,0,92.28,0,0.98,16.69,111.91,0,0,1.96,0,2.94,3.93,0.98,0,0.98,0.98,0,7.85,0,0.98,5.89,0,0.98
 84-94,0,0,0,1.06,12.74,2.12,0,40.36,0,8.5,25.49,3.19,0,1.06,2.12,2.12,1.06,2.12,1.06,1.06,54.16,0,4.25,6.37,73.28,1.06,2.12,3.19,0,0,7.43,0,0,0,0,0,5.31,0,4.25,5.31,3.19,0
 96-106,0,0,1.09,0,6.56,2.19,0,30.6,2.19,4.37,40.44,0,0,1.09,6.56,2.19,2.19,2.19,0,0,75.41,1.09,1.09,6.56,84.15,0,3.28,5.46,1.09,3.28,14.21,0,0,1.09,0,0,4.37,0,0,6.56,2.19,0
108-118,0,0,0.77,0,11.49,1.53,0.77,30.64,0.77,3.06,32.94,3.83,0,1.53,3.06,0,3.06,0.77,3.06,0.77,49.02,0.77,0.77,9.96,114.89,3.83,0.77,4.6,0,1.53,9.19,0,0,0,2.3,0,1.53,0.77,2.3,3.83,2.3,0.77
120,1.96,0,0,0,9.8,11.76,0,13.72,1.96,1.96,23.52,1.96,0,1.96,1.96,0,1.96,0,1.96,0,47.03,0,0,9.8,88.19,1.96,1.96,3.92,0,1.96,15.68,0,0,3.92,0,0,1.96,0,0,3.92,3.92,0
