stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,3.93,0
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,0,1.06,0,1.06,0,0,0,10.62,0,0,2.12,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,14.21,0,1.09,3.28,3.28
108-118,0,0,0,0,0,1.53,0,0,0,0.77,0.77,0,1.53,0,0.77,0,0,24.51,0,0,3.83,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,29.4,0,0,0,0
