stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.88,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,15.73,0,0,169.94,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,1,1,3,291,10,4,17,0,2,10,0,0,0,0,0,0,0,3,21,2,0,38,82,27,2,0,44,0,0,176,1,1,102,35,0,0,2,0,2
 24-34,0,0.82,0,264.32,2.46,9.85,67.31,4.1,1.64,6.57,0,0,0,0,0,1.64,0,2.46,54.18,0.82,0,78.8,107.53,4.1,0.82,0.82,0,0,1.64,0.82,0,0,42.68,29.55,0,0,2.46,0,0
 36-46,0,0,0,90.23,0,2.42,29,4.83,5.64,4.03,0,1.61,0,0,0,0,0,2.42,66.06,1.61,0,23.36,71.7,0.81,0.81,0.81,0,0,0.81,0,0,0,0,16.11,0,0,8.86,0.81,0
 48-58,0,0,0,57.95,0,13.77,26.97,3.44,5.74,0.57,0,1.15,0.57,0,0.57,1.15,0,3.44,79.76,0,0,24.67,47.63,0.57,0.57,2.3,0,0.57,0.57,0,0,0.57,0,8.61,0,1.15,2.87,0,0
 60-70,0,0,0,50.06,0,12.76,16.69,0.98,12.76,0,0,1.96,0,0,0,0,0,0,106.99,0,5.89,8.83,37.3,0,0.98,0.98,0,2.94,0,0,0.98,0.98,0,10.8,0.98,1.96,3.93,0,0
 72-82,0,0,0,45.16,0,24.54,20.61,8.83,14.72,0,0.98,2.94,0,2.94,0,0.98,0,0,153.14,0,4.91,26.5,33.38,0,0.98,0.98,0,2.94,0.98,0,0,0,0,3.93,0.98,4.91,9.82,3.93,0
 84-94,0,0,0,58.41,0,27.61,38.23,5.31,2.12,1.06,0,1.06,0,5.31,2.12,1.06,0,2.12,82.84,0,5.31,13.81,14.87,0,0,0,0,1.06,1.06,0,1.06,0,0,4.25,4.25,3.19,4.25,4.25,0
 96-106,0,0,0,52.46,0,15.3,19.67,4.37,2.19,0,0,2.19,0,6.56,0,1.09,0,0,86.33,1.09,3.28,7.65,13.11,1.09,3.28,0,0,4.37,1.09,0,0,0,0,1.09,1.09,3.28,9.84,2.19,1.09
108-118,0,0,0,57.45,0.77,12.26,23.74,5.36,10.72,3.06,0,2.3,0,3.83,1.53,0.77,0.77,0.77,75.06,0.77,5.36,7.66,9.19,1.53,1.53,0.77,0,0.77,2.3,0,0.77,0,0,0.77,3.83,2.3,3.06,3.83,0.77
120,0,0,0,72.51,0,5.88,31.36,0,3.92,0,0,1.96,1.96,0,0,0,0,1.96,62.71,0,1.96,9.8,5.88,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,3.92,1.96,7.84,0
