stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,2.63,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,9.44,0,0,47.2,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,35,10,0,10,0,0,0,7,2,0,0,0,1,0,0,0,15,0,0,17,118,3,2,3,2,0,4,1,12,4,2,22,73,0,0,6,0,0
 24-34,0,0,0.82,3.28,16.42,0.82,0,17.24,0,0.82,2.46,10.67,1.64,0,0,0,2.46,0.82,0,0,22.98,0,0,9.85,155.96,1.64,4.93,1.64,0,0,15.6,0,0,0.82,0,3.28,85.37,0,0,7.39,0,0
 36-46,0,0,0,0,6.45,0,0,13.7,0,0.81,0,8.06,0,0,0,0,0,1.61,0,0,15.31,0,1.61,8.86,97.49,0,4.03,2.42,0,0,8.86,0,0,0.81,0,0,49.15,0,0,3.22,0,0
 48-58,0,0,0.57,0,1.72,0,0,34.43,0,1.15,1.72,9.75,0.57,0,0,0,0,1.72,0,0,18.94,1.15,0,6.31,75.74,1.72,4.02,2.87,0,0,4.02,0,0,0,0,0,37.3,0,0,1.15,0,0
 60-70,0,0,0,0,5.89,0.98,0,40.24,0,1.96,3.93,6.87,0.98,0,0,0,0,1.96,0.98,0,26.5,0,0.98,2.94,49.08,0.98,2.94,2.94,0,0,2.94,0,0,0,0,0,16.69,0.98,0.98,0.98,0.98,0
 72-82,0,0,0.98,0,2.94,3.93,0,30.43,0,0,1.96,12.76,0.98,0,0.98,0,1.96,3.93,0,0,34.36,0.98,1.96,0,78.53,0,10.8,5.89,0,0,7.85,0,0,0,0,0,7.85,0.98,2.94,5.89,3.93,0
 84-94,0,0,2.12,0,7.43,2.12,0,31.86,1.06,2.12,0,9.56,1.06,1.06,0,0,1.06,1.06,0,2.12,26.55,0,3.19,3.19,43.54,1.06,3.19,4.25,0,0,6.37,0,0,1.06,0,0,4.25,0,1.06,3.19,2.12,1.06
 96-106,0,0,0,0,6.56,2.19,1.09,27.32,0,2.19,1.09,13.11,0,0,0,0,0,0,1.09,0,22.95,1.09,0,4.37,29.51,2.19,8.74,7.65,0,0,8.74,0,0,0,1.09,0,8.74,3.28,1.09,3.28,1.09,2.19
108-118,0,0,1.53,0,6.13,3.06,2.3,16.09,0.77,3.83,3.06,9.96,3.06,0,0,0.77,0.77,0,0,0.77,19.92,1.53,0,0,47.49,0,4.6,9.19,0,0.77,8.43,0,0,0,0,0,3.06,3.06,0,4.6,0,0
120,0,0,1.96,0,3.92,0,0,15.68,0,1.96,3.92,9.8,5.88,0,0,0,3.92,1.96,5.88,0,9.8,0,0,0,47.03,0,9.8,7.84,0,0,7.84,0,0,0,0,0,5.88,0,0,3.92,0,0
