stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,1.61,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0,0,0,9.75,0,0.57,0,0,0.57,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,4.91,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0,0,0,25.52,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,1.96,3.93,68.72,17.67,0,0.98,0.98,4.91,0,0,0,0,0.98,0,0.98,0,15.71,0,0,0.98,77.55,0,0,1.96,0,10.8,0,4.91,0.98,1.96,2.94,0,0
 84-94,0,0,8.5,6.37,147.62,14.87,0,0,1.06,2.12,1.06,0,1.06,0,2.12,1.06,2.12,0,9.56,2.12,0,0,53.1,0,1.06,0,0,8.5,1.06,2.12,0,0,1.06,1.06,1.06
 96-106,3.28,0,19.67,19.67,312.55,64.48,1.09,4.37,6.56,25.14,5.46,2.19,10.93,3.28,0,3.28,24.04,0,54.64,4.37,4.37,7.65,182.51,1.09,3.28,4.37,0,43.71,1.09,6.56,2.19,3.28,6.56,2.19,0
108-118,0,0,24.51,9.96,644.17,75.06,0,5.36,2.3,31.4,5.36,1.53,8.43,5.36,6.13,4.6,26.81,2.3,67.4,0,1.53,10.72,220.6,3.83,2.3,5.36,3.83,41.36,2.3,3.83,0,3.06,9.96,0.77,6.89
120,0,0,21.56,7.84,290.05,50.95,1.96,7.84,3.92,23.52,11.76,0,17.64,0,0,0,23.52,1.96,58.79,3.92,0,5.88,197.94,5.88,5.88,3.92,5.88,11.76,3.92,7.84,0,5.88,1.96,0,1.96
