stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,4,0,0,0,0,1,0,2,0,1,0,1,27,0,0,5,5,1,0,0,0,0,1,0,1,0,0
 24-34,0,0,1.64,1.64,0,0,0,0,0.82,0.82,0.82,0,1.64,0,1.64,8.21,1.64,0.82,0,2.46,0,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,1.61,0,0,0,0.81,6.45,3.22,0,0.81,0.81,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,1.72,0,0,0,0,4.02,2.3,1.15,0,0,0,0,0.57,0.57,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0,2.94,4.91,0,0,0,0,0,0,0,0,0,1.96,0.98,0,5.89
 72-82,0,0,0.98,0,0,0,0,0,1.96,0.98,1.96,0,0,0,0,0.98,3.93,0.98,0,1.96,0,0.98,0,0,0,0,1.96,0,0,1.96
 84-94,0,1.06,0,1.06,1.06,1.06,0,0,5.31,0,0,1.06,0,0,0,1.06,3.19,0,2.12,0,0,0,0,0,0,0,1.06,1.06,0,1.06
 96-106,0,0,0,0,0,0,0,0,5.46,0,1.09,0,0,1.09,0,2.19,7.65,0,0,2.19,0,0,1.09,0,0,0,1.09,0,2.19,4.37
108-118,0,0,0,1.53,4.6,0,0,0.77,9.96,0,0,0,0,0,0,0.77,7.66,0.77,0,0.77,0.77,0,0.77,0,0.77,0,1.53,0,0.77,1.53
120,0,0,0,0,1.96,1.96,0,0,7.84,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0
