stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,11.49,0,0,0.82,0,1.64,0.82
 36-46,0,0,0,0,0,4.83,0,0,0,0,0,0,1.61,0,0,16.92,0,0,0,0,3.22,0
 48-58,0,0,0,0,0.57,5.16,2.87,0,0,0,0,0,1.15,0,0,14.92,0,0,0,0,1.15,0
 60-70,0,0,0,0.98,0.98,3.93,0,0,0,0,0,0,1.96,0,0,6.87,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,2.94,3.93,0.98,0,0,0,0,0,0.98,0,0,6.87,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,2.12,1.06,2.12,1.06,1.06,1.06,0,1.06,0,0,2.12,1.06,0,1.06,1.06,0,0
 96-106,0,0,0,2.19,8.74,4.37,0,6.56,1.09,0,0,0,2.19,0,2.19,9.84,0,0,2.19,0,0,0
108-118,0,0,0,0.77,7.66,1.53,0.77,3.83,2.3,0,0,0,6.13,0.77,0,3.06,0,0,0.77,0,0.77,0
120,0,0,0,1.96,1.96,3.92,1.96,9.8,0,0,0,1.96,0,0,1.96,7.84,0,0,0,0,0,0
