stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,13,3,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,33,0,11,8,1,0,2,0,4,0,2,4,13,0,2,0,0
 24-34,0,0,1.64,0,4.93,0,4.1,0,0,1.64,0,0,0,0.82,0.82,0,1.64,0,0,13.13,0,0,4.93,56.64,0,18.88,17.24,0,0,2.46,0.82,0,0,0.82,0.82,13.13,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,11.28,0,0,4.03,0,0,0,0,0,0,0.81,0,0.81,11.28,0,0.81,4.03,22.56,0,2.42,12.09,0,0,0.81,0,0,0,0,0,11.28,0,1.61,0,0
 48-58,0,0,0,0,1.72,0.57,12.62,0,0.57,2.87,0,0,0.57,0.57,0.57,0,4.59,0,0.57,6.89,0,0,3.44,23.53,0,0,12.62,0,0,0.57,0,0,0,0.57,0,3.44,0,0.57,0,1.15
 60-70,0,0,0,0,0.98,0,19.63,0,0,13.74,0.98,0,0,0,0,0.98,11.78,0,1.96,10.8,0,0,0,22.58,0,1.96,30.43,0,0,2.94,0,0,0,0.98,0,6.87,0,0,0,2.94
 72-82,0,0,0,0,2.94,0,15.71,0,0,25.52,0,0,0.98,0,0,0,26.5,0.98,1.96,34.36,0,1.96,1.96,36.32,0,3.93,61.84,0,0.98,1.96,0,0,0,0,0,3.93,0,1.96,1.96,7.85
 84-94,0,0,2.12,0,0,0,18.05,2.12,0,25.49,0,0,0,0,2.12,1.06,48.85,1.06,2.12,31.86,0,1.06,3.19,24.43,1.06,1.06,79.65,0,0,6.37,0,0,0,0,0,4.25,1.06,1.06,1.06,4.25
 96-106,0,0,1.09,0,3.28,1.09,10.93,1.09,1.09,19.67,2.19,0,0,2.19,0,1.09,77.59,0,1.09,33.88,1.09,0,1.09,28.41,1.09,2.19,102.73,0,1.09,8.74,0,0,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0,0,3.06,0.77,8.43,2.3,0.77,16.85,1.53,0,0,0.77,0.77,1.53,51.32,0,0.77,24.51,0.77,0.77,2.3,24.51,0,0.77,76.6,0,0,5.36,0.77,0,0,0,0,2.3,0,1.53,0.77,3.83
120,1.96,0,0,0,1.96,0,3.92,0,0,7.84,0,0,0,1.96,0,0,31.36,0,0,25.48,0,0,0,29.4,1.96,7.84,62.71,0,0,0,0,0,0,0,0,0,0,0,0,0
