stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,4,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,34,1,0,1,1,5,0,9,15,0,1,0,0
 24-34,0,0,0,0.82,4.1,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,4.93,79.62,0,0,1.64,2.46,0,0,1.64,15.6,0,2.46,0,0.82
 36-46,0,0,0,0,0,0.81,0,10.47,0.81,0,0,4.83,0,0,0,0,0,0,0,8.06,0,0,2.42,40.28,0.81,0,1.61,0.81,0,0,0,6.45,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,0,16.07,0,0,0,9.75,0,0,0,0,0,0.57,0.57,9.75,0,0,2.87,35.58,0.57,0.57,2.87,0.57,0,0.57,0,10.33,0,1.15,0,0
 60-70,0,0,0.98,0,3.93,0,0,36.32,0.98,0,0,20.61,0,0,0,0,0,0,0,23.56,0,0,1.96,35.33,0,1.96,4.91,1.96,0,0,0,11.78,0,1.96,0,0
 72-82,0,0,0,0,5.89,3.93,0,17.67,0.98,0.98,1.96,28.47,0.98,0,0,0,0.98,1.96,0,21.6,0.98,0.98,1.96,33.38,0,1.96,3.93,1.96,0,0,0,3.93,0.98,1.96,0,0
 84-94,0,0,0,0,4.25,4.25,0,15.93,0,0,0,6.37,0,0,1.06,0,0,0,2.12,5.31,0,0,0,19.12,0,0,1.06,9.56,0,0,0,4.25,0,0,0,0
 96-106,0,0,1.09,0,3.28,2.19,0,16.39,0,0,0,16.39,2.19,0,0,2.19,0,1.09,1.09,10.93,0,2.19,2.19,12.02,1.09,0,2.19,2.19,0,1.09,0,1.09,1.09,0,0,0
108-118,0,0,0,0,8.43,1.53,1.53,7.66,0.77,1.53,0,10.72,0.77,0,0,0,0.77,0,3.06,13.02,1.53,0.77,2.3,19.15,0,0,0.77,3.06,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,5.88,1.96,0,1.96,0,0,0,3.92,0,1.96,1.96,0,0,0,3.92,7.84,0,0,1.96,15.68,0,0,0,1.96,0,0,0,0,0,0,0,0
