stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,1,0,0,0,1,0,1,10,0,0,0,0,0
 24-34,0,0.82,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,167.45,1.64,15.6,0.82,0,0,0,0,0.82,31.19,0,0,0,0,0
 36-46,0,0,1.61,0,8.86,0,0,0,1.61,0,0,0,0,0,0,0,0,2.42,0,0,0,572.03,0,23.36,0,0,0,0,0,0,95.87,0,0,0,0,0
 48-58,0,0,1.15,0.57,53.94,0,0,0.57,3.44,0,0,0.57,0,0,0,0,0.57,5.74,0,0,1.15,851.53,1.15,16.07,0,0,2.3,0,0,0,104.43,0,0,0.57,0,1.72
 60-70,0,0,1.96,0.98,167.84,0,0.98,0.98,6.87,0,0.98,0,0,0,0,0,0,59.87,0,0,0,1408.48,1.96,19.63,0,0,1.96,0,0,0,145.27,0,0,0,0,0
 72-82,0,0,6.87,0.98,188.48,0,0,0,19.63,0,0,0,0.98,0,0,0,0,157.07,0,0.98,0.98,1307.57,0.98,32.39,0.98,0,0.98,0,0.98,0,84.42,0.98,0,2.94,0.98,0.98
 84-94,0,0,9.56,0,140.19,0,0,0,27.61,0,0,0,0,0,1.06,0,1.06,139.13,1.06,1.06,2.12,608.55,6.37,24.43,2.12,0,0,0,0,0,69.03,0,1.06,2.12,0,0
 96-106,0,0,6.56,1.09,130.05,1.09,0,1.09,28.41,0,0,0,0,1.09,0,0,0,97.26,0,1.09,0,549.7,1.09,29.51,2.19,0,3.28,0,0,0,22.95,1.09,0,1.09,1.09,1.09
108-118,0,0,8.43,0,115.66,0,0,0.77,17.62,0.77,0,0,0,0,0,0.77,0.77,75.83,0,0.77,0.77,682.47,2.3,24.51,0.77,0,3.06,0,0,0,18.38,1.53,0,0,0.77,0
120,0,1.96,9.8,1.96,101.91,1.96,1.96,0,29.4,0,0,0,1.96,0,0,0,0,78.39,0,0,0,727.08,1.96,21.56,0,0,1.96,0,1.96,0,25.48,1.96,0,3.92,0,1.96
