stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0
 14-21,0,0,0,37,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,24.63,0,0.82,8.21,0,0,0.82,0,0.82,0.82,0,2.46,0,0,0,0,0,0
 36-46,0,0,0,8.06,0,0,1.61,0,0,0,0,0,0.81,0.81,1.61,0,0,0,0,0,0
 48-58,0,0,0,4.59,0,1.72,1.72,0,0,0,0,2.87,0.57,0,5.16,0.57,0,0,0,1.15,0
 60-70,0,0,0,4.91,0,0.98,0,0,0,0,0,0,0,0.98,2.94,0,0,5.89,0,0,0
 72-82,0,0,0,2.94,0,0,0,1.96,0,0,0,1.96,0,0.98,3.93,0.98,0,15.71,0,0,0.98
 84-94,0,0,0,14.87,0,0,5.31,1.06,0,0,0,0,0,1.06,1.06,0,0,60.54,1.06,0,0
 96-106,0,1.09,0,12.02,0,1.09,4.37,0,0,0,2.19,2.19,1.09,1.09,5.46,1.09,2.19,143.16,0,0,0
108-118,0,0,0,19.15,0.77,3.06,9.19,3.06,0.77,0,0,3.06,2.3,0,4.6,0,0,152.43,1.53,0,0
120,0,0,0,21.56,0,0,9.8,0,0,0,0,3.92,0,0,1.96,0,0,145.02,0,0,0
