stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0
 24-34,2.46,0,0,0,0,0,0.82,0,0,41.04,0,6.57,3.28,0,0,0,0,0.82,0,0,0
 36-46,0,0.81,0.81,0,0.81,0,0,0,0,91.04,0,5.64,9.67,0,0,0,0,2.42,0,0,0
 48-58,0,1.72,0,2.3,0,0,1.15,0,0,110.74,0,9.18,9.75,0.57,0,0,0,2.3,0,0,0.57
 60-70,2.94,0,0,1.96,0.98,0,0,0.98,0.98,92.26,0,9.82,11.78,0,0,0,0,1.96,0,0,0
 72-82,2.94,4.91,0,3.93,1.96,0,0,0,0,116.82,0,20.61,14.72,0,0,0,0,0.98,0,0.98,0
 84-94,1.06,6.37,1.06,5.31,3.19,0,0,0,0,86.03,3.19,14.87,13.81,1.06,0,0,0,1.06,1.06,0,0
 96-106,1.09,4.37,4.37,2.19,0,1.09,0,1.09,1.09,91.8,0,14.21,13.11,0,1.09,0,0,1.09,0,1.09,0
108-118,0.77,4.6,4.6,1.53,2.3,0.77,0,0,0,91.92,0,10.72,8.43,1.53,0,0,0.77,0,0,0.77,0
120,0,5.88,1.96,1.96,1.96,0,0,0,0,78.39,0,5.88,15.68,0,0,0,0,0,0,0,0
