stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,spinal_cord
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,1.96,0,0.98,0,1.96,0,0,0,0.98,0.98,0,0,0
 72-82,0,1.96,0,0,0,0.98,7.85,0,1.96,0,0,0,0,0,7.85,0,0
 84-94,0,0,0,1.06,1.06,0,7.43,1.06,2.12,0,0,1.06,0,1.06,2.12,0,0
 96-106,0,1.09,0,0,2.19,0,42.62,0,2.19,0,0,1.09,0,0,10.93,0,1.09
108-118,0,0,0.77,0,0.77,1.53,61.28,0,3.06,0,0,0.77,0,0,5.36,0,0
120,0,0,0,0,0,0,86.23,0,0,1.96,1.96,1.96,0,0,5.88,0,0
