stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,15.77,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,25.18,0,0,0,6.29,0,0,0,0,0
 14-21,0,1,1,2,2,0,1,0,0,0,0,0,1,0,0,4,0,3,14,1,0,1,0,0,4,4,2,5,0,0,0
 24-34,0,0,0.82,1.64,0,0,10.67,0,0.82,0.82,0,0,0,0,0,1.64,0,1.64,88.65,2.46,0.82,0,0,0,0,0,0.82,26.27,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,2.42,0,0.81,0,0,0,0,3.22,0,1.61,135.35,3.22,0,0,0,0,0,2.42,0,41.09,0,0,0.81
 48-58,0,0,0,0.57,0,0,18.36,0,3.44,0,0,0,0,0,0.57,5.16,0,1.15,142.88,1.72,0,0,0,0,0,0,0,30.41,0,0,0.57
 60-70,0,1.96,0,1.96,0,0,37.3,0,4.91,0,0,0,0,0,0.98,3.93,0,0,199.25,1.96,0,0,0,0,0,0.98,0,28.46,0,0,0
 72-82,0,0.98,0,0,0,0,63.81,0.98,7.85,0.98,0,0,0,0,0,6.87,0,0.98,157.07,0,0,0,0,0,0,0,0,13.74,0,0,0
 84-94,0,1.06,0,0,1.06,0,45.67,0,7.43,1.06,0,0,0,1.06,1.06,4.25,1.06,0,76.47,1.06,0,0,0,0,0,1.06,0,10.62,0,1.06,1.06
 96-106,0,0,0,2.19,1.09,0,61.2,0,5.46,2.19,0,1.09,0,0,0,2.19,0,0,65.57,5.46,1.09,0,1.09,0,0,0,0,5.46,1.09,1.09,0
108-118,0,0.77,0,3.06,0,0.77,45.19,0,6.89,2.3,0,0.77,0,0,0,1.53,1.53,0,65.11,3.06,0,0,0.77,0,0,0,0,3.06,0.77,0,0
120,0,0,0,3.92,0,0,37.24,0,7.84,1.96,1.96,0,0,0,0,5.88,0,0,76.43,1.96,1.96,0,0,0,0,5.88,0,7.84,0,0,0
