stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,52,0,0,6,0,4,0,5,0,1,1,0,2,0,0,0,0,6,0,0,6,112,4,0,3,0,0,2,0,3,0,4,24,0,0,1,0,0
 24-34,0,0.82,1.64,18.06,0,0,27.09,0,12.31,4.1,0,0,0,0.82,0.82,7.39,0,1.64,0.82,0,14.78,0,0,6.57,66.49,3.28,8.21,7.39,0,0,13.13,0,0.82,1.64,0.82,14.78,0,0,5.75,0,0.82
 36-46,0,0,0,12.89,0,0,17.72,0,8.06,0.81,12.89,0.81,0,0.81,6.45,4.83,0.81,2.42,0.81,1.61,30.62,3.22,0,7.25,78.15,2.42,12.09,6.45,0,0,28.2,1.61,0,0.81,0,17.72,0,0,1.61,0,0
 48-58,0,0.57,1.15,7.46,0,0,26.97,0,10.9,4.59,20.08,0.57,2.87,0.57,8.03,3.44,0,1.72,0,4.59,30.41,2.3,0,2.3,37.87,5.74,5.16,5.16,0,0.57,22.38,0,0,0.57,0,8.61,0,0,0.57,0,1.72
 60-70,0,2.94,0,14.72,0,0,59.87,0,9.82,4.91,45.15,5.89,2.94,0,8.83,5.89,0,0,1.96,0,70.67,2.94,0.98,2.94,42.21,0.98,4.91,8.83,0,0,40.24,0,0,1.96,0,10.8,0,0.98,0,0,0.98
 72-82,0,9.82,0,39.27,0.98,0.98,118.78,0,14.72,13.74,171.79,57.92,1.96,0.98,19.63,9.82,0.98,8.83,34.36,0,159.03,3.93,1.96,11.78,106.02,2.94,8.83,29.45,0,0.98,33.38,0,0,3.93,0,13.74,5.89,2.94,7.85,1.96,2.94
 84-94,0,3.19,1.06,98.77,3.19,0,150.81,0,43.54,7.43,145.5,133.82,3.19,0,35.05,14.87,3.19,12.74,114.7,0,105.14,5.31,3.19,0,78.59,8.5,7.43,28.68,0,1.06,123.2,1.06,0,10.62,0,11.68,8.5,1.06,2.12,3.19,3.19
 96-106,0,9.84,2.19,120.21,13.11,1.09,120.21,1.09,17.49,6.56,138.79,148.63,0,2.19,21.86,25.14,0,13.11,144.26,0,163.93,8.74,6.56,10.93,139.88,12.02,20.76,29.51,0,0,60.11,0,0,4.37,0,18.58,18.58,3.28,8.74,5.46,3.28
108-118,0,5.36,6.13,175.41,4.6,4.6,111.06,1.53,36.77,6.89,196.85,206.04,0.77,0.77,19.92,20.68,2.3,14.55,704.69,0,166.21,5.36,2.3,3.83,225.19,17.62,14.55,31.4,0,0.77,90.38,0.77,0,3.83,0,17.62,25.28,0.77,8.43,0.77,13.79
120,0,0,0,56.83,1.96,1.96,58.79,0,17.64,3.92,94.07,39.2,0,1.96,7.84,11.76,0,9.8,23.52,1.96,97.99,3.92,0,5.88,117.59,11.76,15.68,21.56,0,0,50.95,0,0,1.96,0,5.88,5.88,0,0,3.92,3.92
