stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,78.67,0,0,0,15.73,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,2,285,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,8,1,1,1,0,3,0,3,1,0,0,0
 24-34,0,0,0,1.64,123.13,0,0,0.82,2.46,0,0,0,0,0,0,0,0.82,0.82,3.28,1.64,0,0,12.31,0,1.64,0,0,0,0,0,4.1,0,0,0.82
 36-46,0,0,0,0,33.03,0,0,2.42,4.03,0,0,0,0,0,0,0,1.61,0,2.42,0,0,0.81,10.47,0.81,0,0,0,0,0,0,3.22,0.81,0,0
 48-58,0,0,0,0,16.64,0,0,4.02,5.74,3.44,0,0,0,0,0,0,4.02,0,3.44,0.57,0,0.57,8.03,0,0.57,0,0,0,0,0.57,1.72,0,0,0
 60-70,0,0,0,0,13.74,0,0,4.91,5.89,0.98,0.98,0,0,0,0.98,0.98,3.93,0,15.7,0,0.98,0.98,8.83,0,0.98,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,40.25,0.98,0,8.83,5.89,3.93,1.96,0,0,0.98,0,0,39.27,0,22.58,1.96,0,0.98,9.82,0,0.98,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,64.78,0,3.19,4.25,10.62,3.19,4.25,1.06,0,1.06,0,0,104.08,0,36.11,0,0,0,5.31,0,1.06,0,0,0,0,2.12,0,0,1.06,1.06
 96-106,0,0,0,0,81.96,1.09,0,6.56,16.39,5.46,2.19,0,0,0,0,0,210.92,0,33.88,1.09,0,0,29.51,0,0,1.09,0,0,0,6.56,0,3.28,0,1.09
108-118,0,0,0.77,0,103.41,0.77,1.53,3.83,23.74,6.13,3.06,0.77,0,0.77,0,0.77,268.85,0.77,27.57,0.77,0.77,0,26.04,0,0.77,0,0,2.3,0,3.06,0,0.77,0,0.77
120,0,0,0,0,101.91,0,0,5.88,15.68,1.96,0,5.88,0,0,0,0,248.89,0,41.16,0,0,3.92,17.64,0,1.96,0,0,1.96,0,5.88,0,0,0,0
