stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,2.63,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.08,0,0,0,6.29,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,196,47,1,0,0,0,0,2,0,3,0,0,0,33,0,0,33,28,0,0,0,1,0,22,2,0,1,23,21,0,0,6,0
 24-34,0,0,0,25.45,41.86,4.1,2.46,3.28,2.46,0.82,3.28,0,3.28,0.82,0,0,32.83,0.82,0,14.78,144.47,0.82,0.82,0.82,0,0,77.98,0,0,0,0.82,20.52,0,0,15.6,0
 36-46,0,0,0,14.5,4.83,49.95,2.42,4.03,0,0,7.25,0,0.81,0,0,0,13.7,0,0,6.45,172.41,0,0,0,0,0,45.12,0,0.81,0,0,30.62,0,0,5.64,0
 48-58,0,0,0,7.46,2.87,61.4,4.59,1.72,0.57,0,8.61,0,0,0,0,0.57,10.9,0,0,4.02,83.2,0,0,0,0,0,20.66,0,0,0,0,8.03,0,0,1.72,0
 60-70,0,0,0,4.91,0.98,70.67,4.91,1.96,0.98,0,8.83,0,0.98,0.98,0,0,18.65,0,3.93,0.98,60.85,0,0,1.96,0,5.89,17.67,0,0,0,0,4.91,0,0,2.94,0
 72-82,0,4.91,0,2.94,5.89,40.25,9.82,0,0,0,5.89,0,0.98,0,0.98,0,12.76,0,0.98,5.89,34.36,0,0,0,0,7.85,13.74,0,0,0,0,1.96,0.98,1.96,7.85,0
 84-94,0,6.37,0,16.99,5.31,49.92,8.5,0,1.06,1.06,5.31,3.19,0,2.12,0,0,7.43,0,1.06,0,22.3,0,0,0,0,3.19,25.49,0,0,0,0,0,1.06,0,9.56,4.25
 96-106,0,4.37,0,6.56,3.28,64.48,7.65,0,3.28,0,8.74,3.28,0,0,0,0,13.11,1.09,0,4.37,10.93,0,1.09,0,0,12.02,14.21,0,0,0,0,1.09,0,1.09,4.37,3.28
108-118,0,6.13,0,13.02,1.53,65.87,5.36,0,1.53,0,3.83,1.53,0,0,0,0,10.72,0.77,0.77,2.3,24.51,0,0,0,0,5.36,16.85,0,0,0,0,0,0,0.77,3.83,0
120,0,3.92,0,15.68,5.88,29.4,3.92,0,0,0,3.92,1.96,0,0,0,0,9.8,0,5.88,3.92,11.76,0,0,1.96,0,9.8,13.72,0,0,0,0,1.96,0,0,3.92,0
