stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,67.43,962.35,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,26.29,0,0,0,21.03,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,178.75,13.14,0,0,89.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,9.44,0,6.29,0,12.59,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,380.78,22.03,0,0,97.56,0,0,6.29,22.03,0,3.15,0,0,0,0,0
 14-21,0,0,0,7,244,29,0,74,0,0,0,28,5,4,3,1,7,2,1,3,0,95,0,0,83,1016,43,1,12,23,0,7,172,4,8,169,298,0,5,0,1
 24-34,0,0,0,4.93,139.55,2.46,0,146.11,0,4.1,3.28,23.8,3.28,0,2.46,0.82,21.34,0.82,3.28,4.1,2.46,145.29,5.75,0,68.95,1016.22,10.67,8.21,12.31,0,0,13.13,0.82,4.93,5.75,27.09,235.59,0,10.67,0,2.46
 36-46,0,0,0,0,39.48,4.03,0,149.05,0.81,4.83,4.03,20.95,3.22,0,1.61,0.81,5.64,0.81,0.81,0.81,4.03,99.9,0.81,3.22,48.34,521.27,5.64,4.83,5.64,0,0,3.22,0,0.81,4.03,0,139.38,0,5.64,0,4.03
 48-58,0,0,0,0,31.56,2.3,0,307.56,0.57,3.44,6.31,46.48,2.87,0,1.72,1.72,1.72,2.3,2.87,2.3,1.72,161.81,1.72,5.74,44.18,288.05,3.44,1.72,3.44,0,0.57,2.87,0,2.87,0,0.57,66.56,0,2.87,0,4.59
 60-70,0.98,0,0,0,24.54,0.98,0,206.12,0.98,3.93,7.85,53,3.93,0,1.96,0.98,1.96,1.96,1.96,0.98,0.98,153.12,0,7.85,25.52,178.64,3.93,2.94,5.89,0,2.94,8.83,0,7.85,1.96,0,24.54,1.96,1.96,0.98,0
 72-82,0,0,0,0,15.71,2.94,1.96,99.15,0,2.94,11.78,59.88,13.74,0,2.94,3.93,6.87,4.91,0.98,10.8,2.94,174.74,0.98,4.91,33.38,127.62,5.89,2.94,7.85,0,1.96,6.87,0,6.87,0,0,4.91,5.89,3.93,1.96,2.94
 84-94,1.06,0,0,0,45.67,5.31,1.06,104.08,0,6.37,10.62,47.79,26.55,0,1.06,5.31,21.24,4.25,4.25,11.68,2.12,172.05,1.06,16.99,30.8,122.13,15.93,5.31,13.81,0,1.06,19.12,0,7.43,3.19,0,10.62,2.12,8.5,3.19,1.06
 96-106,0,0,0,1.09,36.06,8.74,1.09,93.98,0,3.28,2.19,51.36,30.6,0,5.46,13.11,13.11,4.37,7.65,24.04,1.09,166.11,1.09,7.65,30.6,116.93,3.28,8.74,18.58,0,0,21.86,0,12.02,3.28,0,6.56,1.09,5.46,7.65,7.65
108-118,0,0,0.77,1.53,38.3,15.32,0.77,76.6,1.53,6.89,8.43,58.21,31.4,0,2.3,4.6,10.72,7.66,2.3,32.94,2.3,144,0.77,3.83,42.89,164.68,5.36,5.36,8.43,0,5.36,13.02,0,13.79,4.6,0,2.3,4.6,10.72,1.53,7.66
120,0,0,0,0,19.6,35.28,0,82.31,0,3.92,15.68,58.79,13.72,0,3.92,7.84,5.88,3.92,1.96,13.72,0,129.35,0,7.84,37.24,135.23,15.68,0,5.88,0,1.96,3.92,0,7.84,3.92,0,3.92,0,3.92,3.92,3.92
