stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,36.8,0,0,0,15.77,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,12.59,0,0,3.15,0,0,0
 14-21,0,1,0,1,1,0,0,0,0,0,0,2,1,26,0,0,1,0,0,2,0,2,7,0
 24-34,0,0,0,7.39,0,0,0.82,0,0,0,0.82,4.93,1.64,44.33,0,0,2.46,0,0,0,0,2.46,8.21,0
 36-46,0,0.81,0,5.64,0,0,0,0,0,0,0,0.81,0.81,48.34,0,0,0,0,0.81,0,0,0,6.45,0
 48-58,0,0,0,13.77,1.72,0,0,0,0,0,0,8.03,1.15,30.99,0,0.57,0,0,0.57,0,0,0,4.59,0
 60-70,0,1.96,0,9.82,6.87,0,0,0.98,0,0,0,5.89,2.94,26.5,0,0,0,0,0,0,0,0,3.93,0
 72-82,0,0,0,7.85,0,0,0,0,0,0,0,7.85,0,24.54,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,1.06,0,8.5,3.19,0,1.06,1.06,2.12,1.06,0,0,0,7.43,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,7.65,2.19,0,0,2.19,0,0,0,2.19,0,10.93,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,6.13,0,0.77,0,0,0,0,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0.77
120,0,7.84,1.96,0,1.96,1.96,1.96,0,1.96,0,0,0,0,3.92,0,0,0,0,5.88,0,1.96,0,0,0
