stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,31.54,0,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,0,18.88,4.1,1.64,0.82,0.82,0,0,6.57,0,0,0,0,0,0,0.82,0,3.28
 36-46,0,0,0,0,1.61,0,19.34,4.03,0,0,1.61,0,0,8.06,0,0,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,33.28,9.18,0.57,0,0.57,0.57,0,2.87,0.57,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0.98,36.32,7.85,0,0,1.96,0,0.98,9.82,0,0,0,0,0,0,1.96,0.98,0.98
 72-82,0,0.98,0,0,2.94,5.89,53.01,15.71,0.98,0,1.96,0,0.98,7.85,0,0.98,0,0,0,0,0.98,0.98,1.96
 84-94,0,0,0,0,1.06,4.25,39.3,23.36,0,0,2.12,1.06,1.06,4.25,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,2.19,1.09,0,2.19,3.28,68.85,32.79,0,1.09,2.19,0,1.09,6.56,0,0,0,0,1.09,0,0,0,3.28
108-118,0,2.3,0.77,0.77,2.3,0.77,36.77,33.7,2.3,0.77,3.06,0,0,6.89,0,0,0,0,0,0,0,0.77,4.6
120,0,0,1.96,0,1.96,3.92,60.75,21.56,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96
