stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,15.73,0,0,0,0,0,72.38,0,0,0,0,0,0,0,0,0,0,0,78.67,6.29,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,4,235,111,0,15,0,3,0,2,12,3,2,2,1,0,0,2,1,13,1,0,12,42,7,0,9,1,0,150,0,1,4,10,13,21,0,0,22,0,1
 24-34,0,0,1.64,339.01,18.06,0,24.63,0,35.3,0,0.82,1.64,0,15.6,3.28,4.1,0.82,4.93,1.64,18.88,55,7.39,0,33.66,100.14,22.16,2.46,9.85,0,1.64,555.72,0,0,9.85,4.93,12.31,20.52,0,0,109.17,0,4.93
 36-46,0,0,0,163.55,4.83,0,8.86,9.67,53.98,2.42,2.42,0,0,12.89,4.03,1.61,1.61,6.45,0.81,12.09,69.29,2.42,1.61,31.42,58.81,29,4.83,4.83,0.81,0.81,530.94,0,0,4.03,4.83,0,17.72,0,0,51.56,0,4.03
 48-58,0,0,0,94.1,4.59,0,9.18,4.02,58.53,4.59,5.16,1.72,1.15,12.62,2.3,1.15,1.72,3.44,0.57,16.07,90.09,2.87,2.87,16.07,52.79,20.66,0.57,8.03,0,1.15,353.46,0,0,1.72,2.3,0.57,10.9,0,0,60.25,0,18.94
 60-70,0,0,0,71.65,6.87,0,13.74,6.87,61.84,1.96,16.69,1.96,0,6.87,6.87,0.98,6.87,1.96,0,11.78,227.71,1.96,5.89,25.52,44.17,10.8,0.98,13.74,0,0.98,290.53,0,0,1.96,0,0,4.91,0,2.94,60.85,0,12.76
 72-82,0,0,0,80.5,31.41,0,26.5,4.91,54.97,2.94,32.39,6.87,1.96,10.8,4.91,4.91,2.94,14.72,0,11.78,461.38,2.94,12.76,24.54,60.86,12.76,2.94,20.61,0,0.98,257.2,0,0,5.89,0,0,5.89,0.98,4.91,118.78,3.93,19.63
 84-94,0,0,0,122.13,6.37,0,31.86,2.12,83.9,5.31,18.05,12.74,1.06,10.62,16.99,5.31,9.56,3.19,0,37.17,293.12,6.37,13.81,16.99,38.23,7.43,2.12,18.05,0,0,707.32,0,0,10.62,0,0,3.19,0,4.25,98.77,7.43,10.62
 96-106,0,0,1.09,140.98,26.23,0,28.41,7.65,67.76,4.37,22.95,15.3,0,12.02,18.58,14.21,9.84,10.93,3.28,25.14,253.54,7.65,5.46,14.21,68.85,14.21,5.46,22.95,0,1.09,559.54,0,0,7.65,2.19,0,2.19,0,7.65,140.98,12.02,18.58
108-118,0,0,1.53,153.96,19.92,2.3,16.85,4.6,85.79,3.06,16.09,19.15,0,3.83,9.96,19.15,16.85,9.96,5.36,30.64,197.62,10.72,9.19,23.74,42.89,3.83,7.66,18.38,0,5.36,583.66,0,0,7.66,0.77,0,1.53,2.3,6.13,103.41,6.13,21.45
120,0,0,0,154.82,37.24,0,17.64,3.92,58.79,5.88,15.68,25.48,1.96,3.92,41.16,11.76,9.8,11.76,1.96,15.68,176.38,1.96,15.68,25.48,39.2,9.8,5.88,23.52,0,5.88,344.92,0,0,15.68,1.96,0,1.96,1.96,7.84,72.51,1.96,11.76
