stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,30.65,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.18,15.77,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,31.47,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,198.26,6.29,0,0,44.06,0,0,0,6.29,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,1,24,0,5,0,0,0,23,0,0,0,0,0,0,0,9,0,7,82,2,0,1,4,0,0,6,5,1,7,80,0,0,0,0
 24-34,0,0,0,0,9.03,0,8.21,0,0,0,18.06,0,0,0,0.82,0,2.46,0.82,14.78,0,4.93,67.31,0,6.57,2.46,0,0,2.46,0,4.1,0.82,4.1,43.51,0,0.82,0,0
 36-46,0,0,0,0,3.22,0,2.42,0,0.81,0.81,25.78,0,0,0,0,0,1.61,0,18.53,0,3.22,41.89,0.81,12.09,2.42,0,0,3.22,0,8.06,0,0,45.12,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,5.74,0,0,0.57,20.08,0,0,0,0,0,1.15,0,14.35,2.3,4.59,13.2,0,7.46,1.72,0,0,1.15,0,1.72,0,0,30.41,0.57,0,0,0
 60-70,0,0,0,0,4.91,0,3.93,0,0.98,0.98,36.32,0.98,0,0,0,0,3.93,0,22.58,0,0.98,9.82,0,4.91,1.96,0,0,0,0,0,0,0,18.65,1.96,0,0,0
 72-82,0,0,0.98,0,0,0.98,6.87,0,0,0,23.56,0,0.98,0.98,0,0,0.98,0,18.65,0.98,2.94,10.8,0.98,13.74,3.93,0,0,1.96,0,0.98,0,0,12.76,0,2.94,0,0.98
 84-94,0,0,0,1.06,5.31,0,2.12,0,1.06,2.12,28.68,1.06,0,0,2.12,0,3.19,0,15.93,1.06,0,6.37,0,9.56,6.37,0,0,3.19,0,0,0,0,3.19,1.06,2.12,0,0
 96-106,0,0,0,0,3.28,0,9.84,1.09,0,1.09,16.39,1.09,0,0,0,0,4.37,0,16.39,0,0,4.37,0,15.3,14.21,0,1.09,1.09,0,0,0,0,7.65,0,0,1.09,0
108-118,0,0,0,0,3.83,0,3.06,0,0,2.3,18.38,0.77,0,0,0.77,1.53,3.83,0,14.55,0.77,0.77,14.55,0,7.66,5.36,0,0,1.53,0,1.53,0,0,7.66,0,0.77,0.77,0
120,0,0,0,0,3.92,0,0,0,1.96,0,5.88,0,0,0,0,5.88,5.88,0,11.76,0,0,15.68,0,7.84,1.96,0,1.96,1.96,0,0,0,0,3.92,1.96,1.96,1.96,0
