stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,81.49,10.51,0,0,52.57,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.97,9.44,0,0,40.91,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,54,3,1,0,1,0,3,2,0,3,22,0,0,0,0,0
 24-34,0,0,0,0,1.64,1.64,0,17.24,0,0,0,4.93,0,0,0,0,0,0,0,0,12.31,0,7.39,201.11,1.64,0,0,0,3.28,0,0,0,1.64,71.41,0,0,8.21,0,0.82
 36-46,0,0,0,0,1.61,0,0,24.17,0,0,0.81,7.25,0,0,0,0,0,0,0,0,8.06,0,2.42,119.24,0,1.61,0,0,1.61,0,0,0,0,28.2,0,0,3.22,0,0
 48-58,0,0,0,0,0.57,0,0,48.2,0,0.57,0.57,18.36,0,0,0,0.57,0,0,0,0,16.07,0.57,2.87,166.4,0,1.15,0,0,0.57,0,0,0,0,34.43,0,0,3.44,0,1.15
 60-70,0,0,0.98,0,1.96,0,0,34.35,0.98,0,0,12.76,0,0,0,0.98,0,0,0,0,8.83,0.98,0,141.34,0,2.94,0,0,2.94,0,0,0,0,16.69,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,96.2,0,1.96,0,64.79,0,0,2.94,0,1.96,0,0,0.98,31.41,0.98,2.94,320.02,0.98,1.96,1.96,0,0.98,0,0,0.98,0,19.63,0,0.98,1.96,0.98,0.98
 84-94,0,0,1.06,0,3.19,1.06,0,73.28,1.06,0,0,24.43,1.06,0,0,0,0,0,0,0,13.81,0,0,179.48,0,2.12,0,0,8.5,0,0,1.06,0,14.87,0,1.06,2.12,0,1.06
 96-106,0,0,0,0,5.46,2.19,0,73.22,0,0,0,34.97,0,0,0,0,1.09,1.09,0,0,13.11,0,2.19,165.02,0,4.37,1.09,0,8.74,0,0,0,0,5.46,1.09,0,2.19,1.09,1.09
108-118,0,0,0,0,5.36,0,0.77,47.49,0.77,0,1.53,50.55,0,0,0,0,0,0,0,0,9.19,0,2.3,193.79,0,4.6,1.53,0,3.83,0,0,0,0,6.13,0,0.77,1.53,0.77,0
120,0,0,0,0,3.92,0,0,50.95,0,0,0,25.48,0,0,1.96,0,0,0,1.96,0,3.92,1.96,1.96,207.74,0,5.88,1.96,0,0,0,0,0,0,7.84,0,0,3.92,0,0
