stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
 24-34,0.82,4.93,0,0,8.21,0,0,0,0,0.82,0,0,2.46,0,9.03,7.39,0,1.64,64.03,0,1.64,0,4.1,0,0.82,10.67,0,0,2.46,222.45
 36-46,0,0.81,0,0,12.09,0,0,0,5.64,0,0.81,0,2.42,1.61,43.51,4.03,0,1.61,46.73,0,1.61,0,1.61,0.81,0,13.7,0,0,0,280.37
 48-58,0,1.15,0,0,27.54,0,0.57,0,4.02,0,0.57,0,5.16,0.57,60.25,5.74,0,1.72,57.38,0.57,0,0,1.72,1.15,0,10.33,0,0.57,0.57,357.48
 60-70,0,2.94,0,0,27.48,1.96,0,0.98,3.93,0,0.98,0,0.98,0,52.02,4.91,0,0,40.24,0,0,0,1.96,0,0,6.87,0,0,0.98,366.11
 72-82,0,1.96,0,0,55.95,0,0.98,2.94,1.96,0,0,0.98,3.93,0.98,64.79,10.8,0.98,0,40.25,0,2.94,0,1.96,0,0,4.91,0,0,0.98,362.23
 84-94,0,4.25,2.12,0,80.71,0,1.06,0,2.12,0,1.06,1.06,11.68,0,97.71,11.68,1.06,0,29.74,0,0,0,4.25,0,0,3.19,0,1.06,4.25,238.96
 96-106,0,4.37,2.19,0,73.22,0,0,1.09,12.02,0,2.19,1.09,2.19,0,64.48,10.93,1.09,0,33.88,0,2.19,0,2.19,0,0,1.09,1.09,0,1.09,266.65
108-118,0,0,2.3,0.77,25.28,0,0,0,2.3,1.53,0,0,5.36,3.83,95.75,3.83,0,0,24.51,0.77,0.77,1.53,2.3,0,0,0,0,0,0.77,249.7
120,0,1.96,0,0,13.72,0,0,0,1.96,1.96,0,0,0,0,39.2,1.96,0,0,7.84,0,0,1.96,1.96,1.96,0,0,0,0,0,107.79
