stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1106.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,18.39,373.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,50,0,0,0,0,0
 24-34,0,0,4.93,0,8.21,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0,263.49,0,12.31,0,0,8.21,0,0,0.82,126.41,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,17.72,0,0.81,0,0.81,0,0,0,0,0,0.81,0,0,4.03,0,0,614.73,0.81,19.34,0,0,4.03,0,0,0,207.86,0,0,0,0,0
 48-58,0,0,0.57,0,3.44,0,90.66,0,0,1.15,6.89,0,0,0.57,0,0.57,0,0,0.57,7.46,0,0,737.91,0,17.21,0,0,1.72,0,0,0,203.13,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,315.07,0,0.98,0,6.87,4.91,0.98,0,0.98,0,0,0,0,11.78,0,0,1134.64,0,20.61,0.98,0,2.94,0,0,0,209.06,0.98,0,0.98,0,1.96
 72-82,0,0,4.91,0,20.61,1.96,413.28,0,0,1.96,21.6,14.72,0,0.98,0,0.98,0,0,0,12.76,0,0,923.74,0,36.32,1.96,0,1.96,0.98,0,0,117.8,6.87,0.98,0,0.98,0
 84-94,0,0,2.12,0,15.93,1.06,234.71,0,2.12,1.06,13.81,22.3,0,1.06,0,1.06,4.25,1.06,0,8.5,0,3.19,494.91,0,14.87,2.12,0,4.25,0,1.06,0,71.16,21.24,1.06,3.19,1.06,1.06
 96-106,0,0,3.28,0,8.74,1.09,196.71,0,1.09,0,20.76,20.76,0,0,0,0,2.19,1.09,0,24.04,1.09,1.09,419.65,1.09,28.41,6.56,0,4.37,1.09,0,0,19.67,42.62,0,1.09,0,0
108-118,0,0,0.77,0,12.26,2.3,139.41,1.53,2.3,0.77,22.21,13.79,0,1.53,0,2.3,0.77,0,0,11.49,0,1.53,490.98,0,19.92,1.53,0,6.13,0,0.77,0,22.21,58.21,0,0.77,0.77,0
120,0,0,3.92,0,11.76,0,127.39,0,0,0,13.72,9.8,0,0,0,0,1.96,1.96,0,9.8,0,1.96,576.18,0,31.36,1.96,0,9.8,0,1.96,1.96,39.2,7.84,0,5.88,0,0
