stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,5,4,0,0,4,0,28,0,0
 24-34,0,1.64,0,0.82,0,0,9.85,0,0,0,8.21,0,0,0.82,0,5.75,40.22,1.64,0.82,4.1,0.82,32.83,0,0
 36-46,0,0,0,0,0.81,0,4.83,0,0,0,0,0,0.81,0,0.81,15.31,39.48,0.81,0,4.03,0,18.53,0,0
 48-58,0,0,0,0,0.57,0,6.31,0,0,0,0,0,0,0.57,0,10.33,25.25,1.72,0,2.3,0,14.92,0,0
 60-70,0,1.96,0,0.98,4.91,0,4.91,0.98,0,0.98,0.98,0,0,0,0,23.56,27.48,1.96,0,0.98,0,11.78,0,0
 72-82,0,13.74,0,0,0.98,0.98,6.87,2.94,0,0.98,0.98,0.98,0,0,0,9.82,43.19,5.89,0,0.98,0,11.78,0,0
 84-94,0,7.43,1.06,0,5.31,0,9.56,1.06,0,0,1.06,1.06,0,1.06,0,8.5,52.04,7.43,1.06,2.12,0,3.19,0,0
 96-106,0,10.93,0,1.09,3.28,0,6.56,2.19,0,1.09,4.37,3.28,0,0,0,7.65,75.41,6.56,0,1.09,0,3.28,0,0
108-118,0,2.3,0,1.53,0,0,2.3,3.83,0,0,3.06,3.83,0,1.53,0,6.89,49.02,4.6,0,2.3,0,3.06,1.53,0
120,0,3.92,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,9.8,25.48,1.96,0,5.88,0,0,0,1.96
