stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,181.38,0,0,0,55.2,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,37.76,0,0,9.44,0,0,0,0,0,0,0,198.26,6.29,0,0,107,0,6.29,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20,0,0,3,1,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0.82,0,0,1.64,0,0,0,0,0,5.75,0,1.64,2.46,0,0,4.93,7.39,0,3.28
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0.81,11.28,0,1.61,0,0,0.81,1.61,12.09,0,0
 48-58,0,0,0,0,0,0,2.3,1.15,1.72,0,0,0,0,0,0,0,0,42.46,0,2.3,2.3,0,0,1.15,6.31,0,0.57
 60-70,0,0,0,0,0,0,0.98,5.89,5.89,0,0,0,0,0,0.98,2.94,0,50.06,0,4.91,2.94,0,0.98,0.98,10.8,0,0
 72-82,0,0,1.96,0,0,0,10.8,8.83,10.8,0,0.98,0,0,0.98,0,3.93,0.98,68.72,0,2.94,6.87,0,0,8.83,3.93,0,0.98
 84-94,0,0,0,0,1.06,1.06,6.37,7.43,22.3,0,0,0,0,0,0,2.12,0,29.74,0,3.19,16.99,0,2.12,3.19,2.12,1.06,1.06
 96-106,0,0,2.19,1.09,2.19,0,7.65,1.09,27.32,0,0,0,0,4.37,2.19,5.46,0,34.97,0,2.19,20.76,0,1.09,3.28,3.28,0,0
108-118,0,0,0.77,0,0.77,0,6.89,5.36,36.77,0,0,0.77,0.77,2.3,1.53,0.77,0.77,40.6,0,2.3,17.62,0,0.77,1.53,0,0,0.77
120,0,0,0,0,1.96,1.96,1.96,9.8,35.28,0,0,1.96,1.96,0,0,3.92,0,47.03,0,0,15.68,0,1.96,13.72,3.92,0,0
