stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,7.25,0.81,0,0.81,0,3.22,0,0
 48-58,0,0,1.15,0.57,1.72,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,8.03,0,0,0,0,2.3,0,0
 60-70,0,0,0,3.93,1.96,0.98,0.98,0.98,0,0.98,0,0,0,0,0.98,0.98,0,0.98,0,7.85,0,0,0,0,0,0,0
 72-82,0,0.98,0,4.91,4.91,0,0,0.98,0,2.94,0,0,0,0,0,1.96,0.98,0,0,8.83,0.98,0,0,0,0,0,0
 84-94,0,0,2.12,4.25,2.12,0,0,0,3.19,2.12,0,0,0,0,0,1.06,0,0,1.06,3.19,1.06,0,0,0,0,0,1.06
 96-106,0,1.09,1.09,4.37,3.28,0,0,0,4.37,6.56,0,0,0,1.09,0,0,0,0,0,2.19,0,1.09,1.09,0,0,1.09,0
108-118,0,0,3.83,0.77,0,0,3.06,0,3.83,10.72,0.77,0.77,0.77,0,0,0,0,0,0,0.77,1.53,0,0.77,0,0,0,0.77
120,0,0,3.92,1.96,0,0,0,1.96,7.84,5.88,1.96,0,0,0,0,1.96,0,0,1.96,1.96,0,0,1.96,0,0,0,0
