stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,9.44,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,16,2,1,1,0,0,2,13,1,2,44,0,4
 24-34,0,0,0,1.64,0,1.64,0,0,16.42,0,0,0,2.46,0,0,44.33,4.93,0,0,0,22.16,1.64,6.57,1.64,0,0.82,0,2.46,0,0,22.98,3.28,39.4
 36-46,0,0,0,0,0,4.83,0,0,17.72,0,0.81,0,9.67,0,0,59.62,5.64,1.61,0,0.81,44.31,0,12.09,0.81,0,1.61,0,1.61,0,0,28.2,0,44.31
 48-58,0,0,0,0,0.57,22.38,0,0,11.48,0,1.15,0,23.53,0,0,52.22,3.44,0,0,0,44.76,0,8.03,0.57,0,0.57,0,0.57,0,0,18.36,0,60.82
 60-70,0,1.96,0,0,0,49.08,0,0,12.76,1.96,0,0,44.17,0,0,32.39,6.87,0.98,0,0.98,38.28,0,7.85,0,0,0,0,0,0,0,7.85,0,36.32
 72-82,0,0.98,0,0.98,0,39.27,0,0,11.78,3.93,0,0,40.25,0,0.98,38.28,8.83,0,0,0,33.38,0,11.78,0.98,0,0,0,0.98,0,0,1.96,0,61.84
 84-94,0,1.06,0,0,0,27.61,0,0,6.37,4.25,0,1.06,58.41,0,0,64.78,5.31,2.12,1.06,0,18.05,0,4.25,3.19,0,3.19,0,1.06,0,0,1.06,0,59.47
 96-106,0,2.19,0,2.19,1.09,16.39,0,0,2.19,0,0,0,78.68,2.19,0,61.2,5.46,1.09,0,0,17.49,1.09,14.21,5.46,0,0,0,0,0,0,3.28,1.09,84.15
108-118,0,0.77,0,0,1.53,11.49,0.77,0.77,3.83,2.3,0,0.77,119.49,1.53,0,75.06,5.36,0,0,0.77,11.49,0,9.96,4.6,0,0,0,0.77,0.77,0,1.53,0.77,110.3
120,0,0,0,1.96,0,13.72,1.96,0,7.84,0,0,0,66.63,1.96,0,33.32,0,1.96,0,0,1.96,0,7.84,0,0,0,0,3.92,0,0,0,0,41.16
