stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,1,3,0,0,0,27,10,3,0,0
 24-34,0.82,0,0.82,4.1,0.82,0,0,0,1.64,18.06,0,0.82,1.64,14.78,4.1,4.93,0.82,0
 36-46,0,0,3.22,8.06,0,0,0,0,1.61,24.98,0.81,0,0,5.64,0,3.22,0.81,0
 48-58,0.57,0,6.31,12.05,0.57,0,0,1.72,1.72,28.12,0,0,0,1.15,0,3.44,0,1.15
 60-70,0.98,0,0.98,14.72,0,0,0,1.96,3.93,13.74,0,0,0,0,0,0.98,0,0
 72-82,0,0,1.96,22.58,0,0,0,3.93,0.98,17.67,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,3.19,30.8,0,0,0,1.06,5.31,5.31,0,0,1.06,0,0,0,2.12,0
 96-106,1.09,1.09,3.28,52.46,2.19,1.09,1.09,3.28,3.28,4.37,0,0,1.09,1.09,0,0,0,0
108-118,0.77,0,1.53,49.02,0.77,0,0.77,3.06,3.83,6.13,0,0,2.3,0,0,0.77,0,0.77
120,1.96,0,1.96,47.03,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0
