stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,1436.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,42.91,1115.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,12.26,0,12.26,0,6.13,0,0,0,0,0,0,0,0
  7-9,18.4,26.29,0,31.54,0,0,36.8,0,0,0,7.89,0,0,0,0,0,636.15,18.4,0,205.04,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,18.88,0,25.18,0,0,50.35,0,0,0,6.29,0,0,0,0,0,497.22,22.03,0,188.82,0,0,3.15,0,22.03,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,3,0,1,1,0,0,0
 24-34,0,0,0,0,0.82,0,3.28,0,0,0,0,0,0,0.82,0,1.64,25.45,0.82,0,0,0,0.82,0,0,0,0.82,6.57,0,0.82,0
 36-46,0,0,0,0,0,0,4.03,0,0.81,0.81,0,0,0.81,0,0,0,20.95,0,0,0,0,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,0,0,8.03,0,2.87,0,0,0,0,2.87,0,0.57,16.07,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,10.8,0,0,0,0,0,0,2.94,0,0,7.85,0,0,0,0,0.98,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0.98,0,0.98,0,6.87,0,1.96,0.98,0,0,0.98,2.94,0,0.98,16.69,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0.98,0
 84-94,0,0,0,0,1.06,0,8.5,1.06,2.12,0,0,0,0,1.06,1.06,1.06,9.56,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,6.56,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.3,0,3.06,0,1.53,1.53,0,0,0,4.6,0,0,7.66,0.77,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,5.88,0,1.96,1.96,0,1.96,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0
