stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,6.57,0,0,0,2.46,0,0,0,0,0,0,0,0,1.64,0,0,0,92.76,0.82,0.82,1.64,0,0,1.64,0,0,0.82,16.42,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,8.06,0,0,0,3.22,0,0,0,0,0,0,0,0.81,7.25,0,0,0.81,68.48,0,2.42,1.61,0,0,1.61,0,1.61,0,18.53,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,23.53,0.57,0,1.15,10.33,0.57,0,0,0,0,0,0,0,12.62,0,0,1.72,39.02,0,1.72,1.15,0,0,0,0,0,0,13.2,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,21.59,0,0,0.98,13.74,0,0,0.98,0,0,0,0,0,16.69,0,0,1.96,23.56,0,0.98,0,0,0,0.98,0,0,0,5.89,0,0,2.94,0,0
 72-82,0,0,0,1.96,0,0,12.76,0,0,0.98,12.76,0.98,0.98,0,0.98,0,0,0,0,39.27,0,0.98,2.94,30.43,0.98,0,4.91,0,0,0.98,0,0,0,5.89,0,0.98,1.96,1.96,0
 84-94,0,2.12,0,3.19,1.06,0,14.87,0,1.06,0,11.68,1.06,0,0,3.19,0,1.06,0,0,10.62,0,1.06,1.06,11.68,2.12,1.06,7.43,0,1.06,1.06,0,0,0,2.12,0,1.06,0,2.12,0
 96-106,0,0,1.09,6.56,0,0,9.84,0,0,0,19.67,3.28,0,0,0,0,2.19,0,0,13.11,0,1.09,0,19.67,1.09,1.09,6.56,0,0,3.28,0,1.09,0,0,0,1.09,2.19,0,0
108-118,0,0,0,6.13,0,0.77,8.43,1.53,2.3,0,6.13,0,0,0,0,0.77,0.77,0.77,0,15.32,0.77,0,1.53,16.85,0,0,5.36,0,0,0.77,0,0,0,0.77,0.77,0,1.53,1.53,1.53
120,0,0,0,3.92,1.96,0,9.8,0,1.96,0,11.76,1.96,0,0,0,0,1.96,0,0,11.76,0,1.96,1.96,7.84,1.96,1.96,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0
