stage,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,7,0,2,2,0,0,0,1,0,0,2,0,3,51,0,0,0,1,6,0,2,11,21,0,0,3
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,1.64,0,2.46,34.48,0.82,0,0,0.82,0,0,0,0,6.57,0,0,0.82
 36-46,0,0,19.34,4.03,0.81,0,0,0,0,0,12.89,0,3.22,118.43,0,1.61,0,0,0,1.61,0,0,26.59,0,0,0
 48-58,0,0,7.46,3.44,0,0,0,0,0.57,0,4.02,0.57,0.57,60.82,0,0,0,0,0,0,0,0,13.77,0,0,0
 60-70,0,0,2.94,4.91,0,0,0,0,0,0,0.98,0,0,67.73,0,0,0,0,0,0,0,0,14.72,0,0.98,0
 72-82,0.98,0,12.76,4.91,0,0,0,0,0,0,10.8,0,0.98,63.81,0,0,0,0.98,0,0,0,0,7.85,0,0,0
 84-94,0,0,10.62,0,1.06,1.06,0,0,0,0,2.12,0,0,21.24,0,0,0,0,0,0,0,0,2.12,0,0,1.06
 96-106,1.09,1.09,14.21,3.28,0,1.09,1.09,0,0,0,5.46,0,1.09,29.51,0,0,0,0,0,0,1.09,0,1.09,0,1.09,0
108-118,0.77,0,6.89,1.53,0,0,0,0,0,0,4.6,0,0,30.64,0,0,0.77,0.77,0,0,0,0,0,0.77,0,0
120,1.96,0,9.8,0,0,0,1.96,0,1.96,0,1.96,0,1.96,15.68,0,0,0,0,0,0,0,0,0,0,0,0
