stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,34.62,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,32,1,1,0,1,0,0,1,3,0,14,12,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,3.28,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0,4.1,0,12.31,141.19,0.82,2.46,2.46,0,0,3.28,0,0,0,3.28,39.4,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,8.86,0,0.81,0,0,0.81,0.81,0,0,0,0,0,0,0,9.67,0,8.06,352.08,0,3.22,0.81,0,0,3.22,0,0,0,0,71.7,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,28.12,0,0.57,0.57,3.44,0,0,0,0,0,0,0,0,0.57,5.74,0,4.59,463.63,0,0.57,0,0,0,2.87,0,0,0,0,66.56,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,116.8,0,0,0.98,10.8,0,0,0,0,0,0,0,0,0,10.8,0.98,1.96,778.35,0.98,2.94,0,0,0,0,0,0,0.98,0,82.45,0,0,1.96,0,0
 72-82,0,0,0.98,0,5.89,1.96,0,172.77,0,0.98,0,28.47,0,0,0,0,0.98,0,0,0.98,0,20.61,1.96,6.87,738.21,0,6.87,1.96,0,0.98,4.91,0,0,0.98,0,84.42,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,0,5.31,2.12,0,114.7,0,2.12,1.06,31.86,0,0,1.06,1.06,0,1.06,0,1.06,0,20.18,5.31,2.12,407.82,3.19,7.43,2.12,0,0,7.43,0,0,0,0,56.29,1.06,1.06,1.06,3.19,0
 96-106,0,0,0,0,6.56,0,0,112.56,0,1.09,2.19,21.86,1.09,0,2.19,0,2.19,1.09,1.09,0,1.09,19.67,0,1.09,315.83,0,4.37,6.56,0,0,14.21,0,0,0,0,19.67,0,0,1.09,2.19,0
108-118,0,0,0,0.77,6.13,1.53,0.77,95.75,0.77,0,0,17.62,0.77,0,0,2.3,1.53,0,0.77,0,2.3,15.32,0,0.77,384.51,0.77,6.13,3.83,0,0,5.36,0,0,0.77,0,13.02,0.77,0.77,1.53,0.77,1.53
120,1.96,0,0,1.96,7.84,0,0,97.99,0,1.96,0,19.6,1.96,0,0,3.92,1.96,0,0,0,0,23.52,1.96,1.96,366.48,0,0,3.92,0,0,3.92,0,0,0,0,21.56,0,0,3.92,0,0
