stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,16,2,0,1,0,0,0,0,12,0,0,0,0,0,33,0,0,37,8,2,0,0,0,1,0,1,0,1,8,13,0,0,0,0,0
 24-34,0,0,0.82,14.78,0,0,2.46,0,0,0,1.64,0.82,0,0.82,0,0,16.42,50.07,0.82,0.82,43.51,18.06,4.93,2.46,0,0,4.1,0,0.82,0,0,0.82,19.7,0,0,0,0,0
 36-46,0,0.81,0,4.03,0,0,2.42,0,0.81,0,1.61,0,0,0.81,0,0,10.47,63.65,0,13.7,29,36.26,4.83,0.81,0,0.81,8.86,0,0,0,0,0,24.98,0,0,0,0,0
 48-58,0,1.72,0,6.31,0.57,0,10.33,0.57,0,0,1.15,0,0.57,0.57,0,0.57,8.03,60.82,0,25.25,13.2,18.94,0.57,2.3,0,1.15,6.89,0,0,0,0,0,12.05,0,0.57,0,0.57,0
 60-70,0,0,0,5.89,0,0,61.84,0,0,0.98,3.93,0,0,0,0,0,4.91,50.06,0,21.59,7.85,33.37,0,0,0,0,5.89,0,0,0.98,0,0,10.8,1.96,1.96,0,2.94,0
 72-82,0,0.98,0,11.78,0.98,0,192.41,0.98,0.98,0.98,14.72,1.96,0,0,0,0.98,6.87,68.72,0,16.69,7.85,42.21,0,1.96,0,0,0,0,0,0.98,0,0,1.96,0,5.89,0,17.67,0
 84-94,0,0,0,6.37,0,0,88.15,2.12,0,0,7.43,0,0,1.06,0,1.06,7.43,38.23,0,19.12,1.06,24.43,0,1.06,0,0,5.31,0,0,0,0,0,3.19,0,4.25,1.06,13.81,0
 96-106,0,1.09,0,19.67,0,0,97.26,2.19,1.09,3.28,6.56,0,0,0,0,0,15.3,52.46,0,10.93,6.56,29.51,0,0,0,1.09,3.28,0,0,0,0,0,3.28,1.09,2.19,0,30.6,0
108-118,0,0.77,0,13.02,0.77,0.77,76.6,0,0,0.77,4.6,0,0,0,0.77,0.77,9.19,49.02,0.77,13.02,6.13,22.98,0,1.53,0,1.53,3.83,0,0,0,0,0,1.53,1.53,2.3,1.53,11.49,0.77
120,0,0,0,17.64,0,0,52.91,1.96,0,1.96,3.92,3.92,0,0,1.96,1.96,7.84,31.36,0,11.76,1.96,15.68,0,0,1.96,0,0,1.96,0,0,0,0,1.96,1.96,3.92,0,21.56,1.96
