stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,39.53,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,110.33,1054.3,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,18.39,0,36.78,0,0,0,0,0,0,0,0,0
  7-9,18.4,47.32,0,52.57,0,0,0,102.52,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,1035.71,42.06,0,0,396.94,0,2.63,7.89,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,50.35,0,3.15,0,125.88,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,846.53,3.15,0,0,314.7,0,0,0,0,69.23,0,12.59,0,0,0,0
 14-21,0,0,0,4,20,8,0,17,0,0,1,2,1,0,1,0,0,0,0,17,0,0,6,244,2,0,4,7,0,11,0,15,2,1,15,61,0,1,0
 24-34,0,0,0,0.82,4.1,2.46,0,61.56,1.64,0.82,9.85,0,0,0,0.82,0,1.64,0.82,0,45.15,0,0.82,11.49,433.41,1.64,5.75,1.64,0,0,36.94,0,0,1.64,0,0.82,75.52,0,4.93,0
 36-46,0,0,0,0,4.03,0.81,0,118.43,0.81,0,4.83,0,0,0,0,0,0,0,2.42,29.81,0,0.81,5.64,283.6,0.81,0.81,0.81,0,0,14.5,0,0,0,0,0,53.17,0,4.03,0.81
 48-58,0,0,0,0,2.87,0,0,117.06,1.15,0,8.03,0,0,0,0,0,0,0,8.03,32.13,0.57,2.3,4.02,78.61,0,1.72,0,0,0.57,3.44,0,0,0,0,0,18.36,0,3.44,1.72
 60-70,0,0,0,0,4.91,0,0,88.34,0,1.96,17.67,0,0,0.98,0,0,2.94,0,4.91,21.59,0,0.98,7.85,64.78,0,1.96,0,0,0,8.83,0,0,0.98,0,0,2.94,0,1.96,0.98
 72-82,0,0,2.94,0,4.91,0,0,40.25,0,0,23.56,0.98,0,0.98,0,0,0,0,6.87,24.54,0,0.98,6.87,49.08,0,1.96,0.98,0,0,7.85,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,7.43,1.06,0,33.99,0,0,10.62,0,0,1.06,1.06,0,0,1.06,9.56,20.18,0,2.12,4.25,47.79,1.06,3.19,3.19,0,0,25.49,0,0,5.31,1.06,0,3.19,0,2.12,0
 96-106,0,0,2.19,0,4.37,0,0,24.04,0,0,7.65,4.37,0,1.09,0,0,0,0,7.65,12.02,0,0,4.37,28.41,0,3.28,2.19,0,1.09,13.11,0,0,2.19,0,0,2.19,0,2.19,0
108-118,0,0,0.77,0,4.6,2.3,0.77,24.51,0,0.77,9.19,1.53,0,0,0,0.77,0,1.53,7.66,7.66,0,0,3.06,33.7,0,0,2.3,0,0.77,13.02,0,0,1.53,0,0,0,0.77,1.53,0
120,0,0,0,0,1.96,0,0,15.68,0,0,11.76,1.96,0,0,0,0,0,3.92,1.96,7.84,0,1.96,5.88,35.28,3.92,1.96,1.96,0,0,7.84,0,0,3.92,0,0,0,0,7.84,1.96
