stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,1,1,9,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0.82,42.68,0,0.82,0,0,0,0,0,0,18.88,0,0
 36-46,0,0.81,0,2.42,0,0,0,0,0,0,0,0,144.21,0,1.61,0,0,0,0,0,0,47.53,0,0
 48-58,0,0.57,0,9.18,0,1.15,0,0,0,0.57,0,1.15,149.19,0,0,0,0,0,0,0.57,0,33.85,0.57,0.57
 60-70,0,0.98,0,31.41,0,0.98,0,0,0,0.98,0,0,249.31,0,0,0,0,0,0,0,0,32.39,0,0
 72-82,0,0.98,0,42.21,0,1.96,0.98,0,0,10.8,1.96,0,246.4,0,1.96,0,0,0.98,0,0,0,20.61,0,0
 84-94,0,1.06,0,27.61,0,2.12,0,0,1.06,7.43,1.06,0,87.09,0,0,0,0,0,0,0,0,14.87,0,0
 96-106,0,2.19,1.09,26.23,0,7.65,0,0,0,9.84,0,1.09,78.68,0,0,1.09,0,0,1.09,0,0,7.65,0,0
108-118,0,0,0,19.15,0.77,5.36,0,0,0,3.06,0,1.53,110.3,0,0,0,0,0,0.77,0,0,2.3,0,0
120,0,0,0,17.64,1.96,3.92,0,0,0,7.84,0,1.96,80.35,0,0,0,0,0,0,0,0,3.92,0,0
