stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,22.16,0.82,0,0,3.28,0,0,0,0
 36-46,0,3.22,0,1.61,0.81,0,0,0,0.81,0.81,0,82.98,0,0,0,5.64,0,0,0,0
 48-58,0,1.72,0,5.16,1.15,0,0,0.57,0,1.15,0,88.37,0,0,0.57,3.44,0,0,0,0
 60-70,0,1.96,0.98,27.48,3.93,0,0,0,0,1.96,0,248.33,0,0,0.98,4.91,0.98,0,0,0.98
 72-82,0,0,0.98,20.61,4.91,0,0,0,0,4.91,0,215.97,0,0,0.98,6.87,0,0,0,0
 84-94,0,2.12,0,23.36,3.19,0,0,0,1.06,2.12,0,100.89,0,0,1.06,5.31,0,0,0,0
 96-106,0,3.28,1.09,7.65,1.09,0,0,0,0,3.28,1.09,86.33,0,0,0,1.09,0,0,0,0
108-118,0,0.77,0.77,7.66,3.83,0,0.77,0,0,1.53,0,79.66,0,0,0,1.53,0,0.77,1.53,0
120,0,0,0,7.84,1.96,0,0,0,0,0,1.96,107.79,0,0,0,3.92,0,0,0,0
