stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,15.6,0.82,0,0,0,0,0,0.82,11.49,0,15.6,11.49,0,0.82,0,0,0.82,1.64,14.78,1.64,0,0
 36-46,0,0.81,0,0,0,2.42,18.53,0,0,0,0,0,0,0,11.28,0,6.45,14.5,0.81,0,0,0,0,2.42,0.81,1.61,0,0
 48-58,0,0.57,0,0,0,8.03,26.97,0.57,1.15,0,0,0,0,0,11.48,0,2.3,15.49,0,0,0,0,0.57,2.3,0,3.44,0,1.15
 60-70,0,0,0,0,0,6.87,17.67,1.96,0,0,0,0,0,0,20.61,0,0.98,7.85,0,0.98,0.98,0,0,4.91,0,1.96,0,0
 72-82,0,0,0,1.96,0,5.89,17.67,3.93,1.96,0,7.85,0,0,0,19.63,0,3.93,11.78,0,0,0,0,0,3.93,0,0,0.98,0.98
 84-94,0,0,2.12,0,0,5.31,10.62,2.12,1.06,1.06,3.19,1.06,0,0,19.12,1.06,3.19,6.37,0,0,0,0,1.06,0,0,2.12,0,0
 96-106,0,0,2.19,1.09,0,4.37,18.58,1.09,3.28,0,6.56,0,1.09,1.09,14.21,0,4.37,16.39,0,0,1.09,1.09,4.37,1.09,0,1.09,1.09,0
108-118,0,0,1.53,0,0.77,3.06,21.45,2.3,1.53,0,3.06,0,0,0,13.79,0,2.3,3.06,0,0.77,0,0,0,1.53,0,0.77,0,0.77
120,0,0,1.96,0,0,0,21.56,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,1.96,0,0
