stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,16,0,0,0,0,1,7,4,0,0,0,0
 24-34,0,0.82,2.46,0,1.64,0,0,0,0,0.82,0.82,0,0,4.93,0,0.82,33.66,0,1.64,0,2.46,0,0.82,12.31,0,0,0,0
 36-46,0.81,0,0.81,0,0,0,0,0,0.81,0,0,0,0,4.83,0,0.81,63.65,0,0.81,0,2.42,0,0,8.86,0,2.42,0,0
 48-58,0.57,0,0.57,0,1.72,0.57,0,1.72,1.72,0,0,0.57,0,2.3,0,0.57,74.02,0.57,2.87,0,2.87,0,0.57,9.75,0,0,0,0.57
 60-70,0,0,0,0,17.67,1.96,0.98,2.94,8.83,0,0,0.98,0,4.91,0.98,0.98,160.97,0,1.96,0,2.94,0,0.98,9.82,0,0,0,0
 72-82,0.98,0,0,0,30.43,0.98,0,0,13.74,1.96,0,0,0,11.78,1.96,0,211.06,0,4.91,0,0.98,0,0.98,13.74,0,0,1.96,0
 84-94,0,0,0,1.06,26.55,3.19,1.06,2.12,7.43,1.06,0,0,0,9.56,0,0,97.71,0,0,0,2.12,0,0,8.5,0,1.06,0,0
 96-106,0,0,2.19,0,26.23,2.19,0,1.09,9.84,5.46,0,0,1.09,6.56,1.09,1.09,107.1,0,2.19,1.09,2.19,0,2.19,1.09,0,1.09,0,0
108-118,0,0,1.53,0,19.92,1.53,3.06,0.77,5.36,2.3,0,0,0,6.89,2.3,0.77,113.36,0,1.53,0,1.53,0,0.77,2.3,0,0,0,0
120,0,0,1.96,0,7.84,3.92,1.96,0,5.88,5.88,0,0,0,3.92,1.96,0,137.18,0,1.96,0,0,0,0,5.88,1.96,0,0,0
