stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,12.26
  7-9,0,0,0,2.63,0,0,0,28.92,0,2.63,0
 10-12,0,0,0,0,0,0,0,12.59,0,6.29,0
 14-21,0,0,0,0,0,0,0,2,0,0,1
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,0,0.98
 84-94,0,0,1.06,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,1.09,2.19,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0,1.53,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,1.96
