stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,23,0,0,0,1,0,3,2,1,6,10,0,0,1,0,0
 24-34,0,0,4.1,0,0,2.46,0,0.82,0.82,0,0,0,0,0,0,0,0,7.39,0.82,0.82,4.93,46.79,0.82,0.82,0,0,0,4.93,0,0,1.64,25.45,0,0,7.39,0,0.82
 36-46,0,0,0,0.81,0,2.42,0,0,0,0.81,0,0,0,0.81,0.81,0.81,0,8.86,0,1.61,0.81,69.29,0,0,0,0,0,4.03,0,0,0.81,50.76,0,0,1.61,0,0
 48-58,0,0,0.57,0,0,10.33,0,0,0,5.74,0,1.15,0.57,0,0.57,1.15,0.57,10.33,0.57,0,0.57,84.35,0,0.57,0,0,0,3.44,0,0,0,37.87,0,0.57,0.57,0,0.57
 60-70,0,0,0.98,0,0,23.56,0.98,0.98,0.98,15.7,0,0.98,0,0,0.98,0,0.98,8.83,0,0.98,0,183.54,0,2.94,0.98,0,0,2.94,0,0,0,58.89,0,0.98,0.98,0,0.98
 72-82,0.98,0,0.98,0.98,0,28.47,0,0,0,7.85,0,0.98,0.98,0,1.96,0,0,17.67,0.98,3.93,0,154.12,1.96,1.96,0,0,3.93,5.89,0,0,0,41.23,0.98,0.98,1.96,0.98,1.96
 84-94,0,0,3.19,0,0,20.18,0,1.06,0,7.43,2.12,1.06,1.06,0,0,0,0,10.62,0,4.25,2.12,92.4,1.06,0,2.12,0,0,4.25,0,0,0,14.87,0,0,3.19,2.12,0
 96-106,0,0,5.46,0,0,26.23,0,2.19,0,13.11,1.09,6.56,5.46,0,2.19,0,0,15.3,0,3.28,2.19,96.17,1.09,2.19,0,0,6.56,3.28,0,0,0,13.11,1.09,0,1.09,1.09,1.09
108-118,0,0,2.3,0,0,19.15,0,0.77,0,9.96,0.77,1.53,0.77,0,0,0.77,0,9.96,2.3,3.06,1.53,99.58,0,0,0.77,0,3.06,3.06,0,0.77,0,14.55,0,0,2.3,1.53,0.77
120,0,0,9.8,0,1.96,13.72,0,7.84,0,5.88,0,1.96,1.96,0,0,1.96,0,15.68,0,7.84,0,125.43,0,0,1.96,0,1.96,1.96,0,0,0,9.8,0,0,1.96,0,0
