stage,endocrine_pancreas,epidermis,eye,glial,heart,immune,iridophores,mesenchyme,neural,otic,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,1,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,9.85,0,4.1,0
 36-46,0,0,2.42,0.81,0,0,0,0,50.76,0,10.47,0
 48-58,0,0,11.48,0,0,0,0,0,119.35,0,18.36,0
 60-70,0,0,91.28,1.96,0,0,0,0.98,293.48,0,55.95,0
 72-82,0.98,0,76.57,5.89,0,0,0,0,275.85,0,25.52,0
 84-94,0,1.06,63.72,3.19,0,1.06,0,0,105.14,0,16.99,0
 96-106,0,2.19,38.25,1.09,0,0,1.09,0,120.21,0,5.46,1.09
108-118,0,0,25.28,0.77,1.53,0,0,0.77,85.79,0.77,3.06,0
120,0,1.96,29.4,3.92,0,0,0,0,94.07,0,3.92,0
