stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33,0,0
 24-34,0,0,0,4.93,4.1,0,0.82,0,0,0,0,10.67,4.1,0.82,0,0,0,0.82,6.57,0,1.64,0,2.46,0.82,0.82,0,0,150.22,0,0
 36-46,0,0,0,17.72,0,0,1.61,1.61,0,1.61,0,8.06,18.53,0,0,0.81,0,0,4.83,0.81,0,0,0.81,0,0.81,0,0,105.54,0,0
 48-58,0,0,0,32.71,0.57,0,1.72,5.74,0,9.75,0,1.72,24.1,0,1.72,1.15,0,0.57,9.75,0,0,0,1.15,0.57,4.59,0,0,89.51,0,0.57
 60-70,0,0,0,43.19,0,0,1.96,7.85,0,34.35,0,0.98,24.54,0,2.94,0,0.98,0.98,13.74,0,0,0.98,0.98,0.98,4.91,0,0,69.69,0,0
 72-82,0,0,0.98,36.32,0,0,3.93,6.87,0.98,56.94,0,4.91,53.01,0,4.91,0,3.93,0,16.69,0,0,0,1.96,0,15.71,0,0,144.3,5.89,0.98
 84-94,0,0,0,131.69,0,0,3.19,19.12,1.06,46.73,1.06,2.12,70.09,0,1.06,1.06,1.06,0,5.31,0,0,0,1.06,1.06,9.56,0,0,152.93,8.5,0
 96-106,0,0,0,74.31,4.37,0,8.74,10.93,0,28.41,2.19,17.49,114.75,0,13.11,2.19,1.09,0,10.93,0,0,0,2.19,1.09,16.39,0,2.19,199.99,8.74,0
108-118,0.77,0,0,60.51,0.77,0.77,4.6,12.26,0,25.28,0,2.3,78.13,0,9.19,0,0.77,1.53,9.19,0,0,1.53,1.53,1.53,7.66,0.77,0,151.66,6.89,0
120,0,0,0,35.28,0,0,0,7.84,0,25.48,0,7.84,88.19,0,3.92,0,3.92,1.96,9.8,0,0,0,1.96,0,5.88,0,0,94.07,1.96,0
