stage,epidermis,eye,glial,gut,immune,liver,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,taste,xanthophores
 14-21,0,0,0,0,0,0,0,3,0,0,0,2,0,0
 24-34,0,0.82,0,0,0,0,0,18.06,0.82,0,0,5.75,0,0
 36-46,0,3.22,0,0,0,0,0,62.84,0,0,0,14.5,0,0
 48-58,0,5.16,0.57,0,0,0,1.15,78.04,0.57,0,0,14.92,0,0
 60-70,0,7.85,0,0,0,0,0,92.26,0,0,0,16.69,0,0.98
 72-82,0,4.91,0,0,0,0,0.98,118.78,1.96,0,0,13.74,0,0
 84-94,1.06,15.93,1.06,0,0,0,2.12,55.23,1.06,0,0,11.68,0,0
 96-106,0,6.56,1.09,0,1.09,0,1.09,46.99,0,0,0,2.19,1.09,0
108-118,0,4.6,0.77,0.77,0,0,0,39.06,0,0.77,0,0.77,0.77,0
120,1.96,0,0,0,0,1.96,0,52.91,0,0,1.96,1.96,0,0
