stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,4,13,3,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,2,118,1,1,3,1,0,1,0,20,2,14,19,0,0,1,0,0
 24-34,0,3.28,11.49,2.46,0,13.95,0,0,0.82,4.1,1.64,0,0.82,0,0.82,0,0.82,0.82,0,12.31,0,0,11.49,175.66,0.82,4.93,4.93,0,0,7.39,0,0.82,0,4.93,55.82,0,0,5.75,0,0.82
 36-46,0.81,0,3.22,0.81,0,24.17,0,1.61,0.81,8.86,0.81,0,2.42,0,0,0,0.81,0.81,0,20.14,0,0,2.42,136.96,0,2.42,2.42,0,0,4.83,0,0,0.81,0,41.09,0,0,3.22,0,0.81
 48-58,0,0,1.15,1.72,0,16.64,0,0.57,0.57,10.9,0.57,0,0.57,0.57,0,0.57,0.57,0,1.15,10.9,0.57,1.15,3.44,44.18,0.57,0.57,0.57,0,0.57,2.87,0.57,0,0.57,0,20.08,0,0,1.72,0,1.72
 60-70,0,0,0.98,4.91,0,31.41,0,0.98,0.98,24.54,0.98,0.98,0.98,0,0,0,0,0.98,0.98,22.58,0,0,4.91,40.24,1.96,2.94,0.98,0,0,1.96,0,0,0,0,12.76,0,0,3.93,0,0
 72-82,0.98,0,5.89,42.21,0,53.99,0,0,2.94,32.39,4.91,0.98,0.98,1.96,0,0,1.96,0,0,41.23,0.98,1.96,3.93,64.79,0,3.93,6.87,0,0.98,7.85,0,0,1.96,0,15.71,0,0,6.87,0,2.94
 84-94,0,1.06,11.68,47.79,0,57.35,0,0,0,30.8,1.06,0,2.12,5.31,0,4.25,2.12,2.12,1.06,44.61,3.19,4.25,8.5,69.03,1.06,3.19,8.5,0,1.06,48.85,0,0,1.06,0,9.56,1.06,0,7.43,0,5.31
 96-106,1.09,0,15.3,75.41,0,57.92,0,3.28,4.37,54.64,5.46,0,1.09,6.56,2.19,8.74,0,1.09,2.19,67.76,1.09,3.28,9.84,73.22,3.28,1.09,10.93,0,2.19,24.04,0,0,1.09,0,10.93,2.19,0,18.58,3.28,4.37
108-118,0,0,24.51,49.79,0.77,56.68,0,0.77,1.53,43.66,4.6,0,0,9.19,2.3,12.26,1.53,2.3,3.83,62.81,0,1.53,19.15,87.32,1.53,2.3,7.66,0,1.53,19.92,0,0,0.77,0,1.53,2.3,0.77,9.19,0,6.13
120,0,0,23.52,76.43,0,52.91,1.96,5.88,1.96,31.36,0,0,0,9.8,1.96,7.84,3.92,1.96,0,41.16,0,3.92,5.88,84.27,3.92,1.96,5.88,0,3.92,17.64,0,1.96,1.96,0,1.96,0,1.96,7.84,3.92,3.92
