stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,notochord,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,4.1,0,0,1.64,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0.81,4.83,0,0,0,0,0,2.42,4.03,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.72,4.59,0,1.72,0,1.15,0.57,0.57,8.03,0,0,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,0,0.98,4.91,0,0.98,0,2.94,0,0.98,4.91,0,0,0,0,0.98,0,0.98,0.98,0,0,0
 72-82,0.98,0,1.96,1.96,1.96,0,0,0,6.87,0.98,1.96,8.83,0.98,0.98,0,0,0.98,0,0,0,0.98,0,1.96
 84-94,0,0,4.25,1.06,1.06,1.06,1.06,0,16.99,3.19,0,6.37,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,3.28,1.09,10.93,6.56,1.09,0,0,1.09,26.23,2.19,1.09,12.02,0,0,1.09,1.09,1.09,0,0,0,0,1.09,0
108-118,0,0.77,34.47,2.3,5.36,0.77,1.53,0,30.64,3.06,3.06,7.66,0,0,0.77,1.53,1.53,0,0,0,0,0,0
120,0,0,7.84,1.96,1.96,0,0,0,29.4,1.96,1.96,3.92,0,0,0,3.92,1.96,0,0,0,1.96,0,0
