stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.23,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.65,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,10.51,0,65.72,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,28.32,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,3,2,0,3,0,0,0,0,5,7,0,0,3,0,0,3,0,4,1,0,1,11,0,0,0,0,0,167,4,1,10,0,0,0,0,0
 24-34,0,0,0,2.46,4.1,0,0,6.57,0,0,0,0,7.39,2.46,0,0,41.86,0,0.82,3.28,0,1.64,13.13,0,0,42.68,0,11.49,0,0,0,192.9,0,1.64,10.67,0,0,3.28,0,8.21
 36-46,0,0,0,0,1.61,0,0,10.47,0,1.61,0,0.81,5.64,4.03,0,0,24.17,0,0.81,0,0.81,2.42,12.09,0,1.61,73.32,0,24.98,0,0,0,136.96,0,0,4.03,0,0,0,0,5.64
 48-58,0,0,0,0,5.74,0,0,10.9,0,4.59,1.15,1.72,6.31,22.38,0.57,0,10.9,0,0,0.57,4.59,5.74,20.08,0,0.57,46.48,0,35.58,0,0,0,60.25,0,0,4.02,0,0,0,0,10.9
 60-70,0,0,0,0,4.91,0,0,12.76,0,5.89,0,1.96,31.41,11.78,0,0,12.76,0,0,0.98,6.87,7.85,9.82,0,0.98,37.3,0,26.5,0,0,0,51.04,0,0,3.93,1.96,0,0.98,0,10.8
 72-82,0,0,3.93,2.94,5.89,0,0,22.58,0,4.91,0.98,2.94,169.83,11.78,0,0.98,34.36,0,0.98,4.91,6.87,12.76,33.38,1.96,0,48.1,0,95.22,0,0,0,52.03,0,0.98,6.87,0,0,0.98,0.98,6.87
 84-94,1.06,0,4.25,9.56,15.93,0,0,26.55,0,8.5,0,3.19,381.27,11.68,0,1.06,42.48,1.06,1.06,16.99,13.81,5.31,16.99,2.12,3.19,45.67,0,105.14,0,0,0,108.33,0,9.56,5.31,0,1.06,0,3.19,3.19
 96-106,0,0,7.65,17.49,34.97,2.19,1.09,25.14,1.09,9.84,1.09,7.65,549.7,2.19,0,1.09,68.85,1.09,3.28,13.11,5.46,15.3,21.86,0,0,85.24,0,199.99,1.09,0,1.09,107.1,0,2.19,3.28,3.28,0,1.09,7.65,8.74
108-118,0,0,5.36,20.68,29.87,0,0,20.68,0,13.02,0.77,3.06,645.71,0.77,1.53,0,41.36,2.3,0.77,19.15,10.72,12.26,13.02,0.77,0.77,77.36,0,132.51,0,0,0,56.68,0,7.66,2.3,4.6,1.53,1.53,3.83,8.43
120,1.96,0,1.96,7.84,27.44,0,0,11.76,0,11.76,0,1.96,423.31,0,0,1.96,29.4,1.96,1.96,7.84,5.88,7.84,7.84,0,1.96,52.91,3.92,74.47,0,0,0,41.16,0,3.92,0,1.96,0,0,3.92,7.84
